side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,21350000.0,1,1,30000142,60003760,90,2025-10-21T08:39:14Z,7025958772,1,station
buy,21330000.0,1,1,30000144,1042508032148,90,2025-10-20T12:33:32Z,7166724396,1,40
buy,21300000.0,1,1,30000142,60003760,90,2025-10-12T19:41:41Z,7057055194,1,station
buy,20000000.0,1,1,30000142,60003760,90,2025-09-14T04:39:51Z,7141429091,1,station
sell,129000000.0,1,1,30000142,60003760,90,2025-11-14T22:33:19Z,7186118676,1,region
sell,235000000.0,1,1,30000142,60003760,14,2025-11-14T15:13:07Z,7185801968,1,region
sell,238900000.0,1,1,30000142,60003760,90,2025-10-12T16:16:47Z,7160935006,1,region
sell,239900000.0,1,1,30000142,60003760,90,2025-09-08T06:09:35Z,7137566219,1,region
sell,240000000.0,1,1,30000142,60003760,90,2025-08-31T10:35:12Z,7122358926,1,region
sell,245000000.0,2,2,30000142,60003760,90,2025-09-05T15:49:54Z,7135729763,1,region
sell,280000000.0,1,1,30000142,60003760,90,2025-08-26T12:55:44Z,7129176099,1,region
