side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1.0,8,9,30000142,60003760,30,2025-11-08T12:26:52Z,7180942012,1,5
sell,489000.0,2,2,30000142,60003760,90,2025-11-10T17:53:44Z,7171552660,1,region
sell,490000.0,1,1,30000142,60003760,90,2025-11-10T13:44:00Z,7182675930,1,region
sell,493600.0,1,1,30000142,60003760,30,2025-11-08T15:56:07Z,7168714624,1,region
sell,494000.0,4,4,30000142,60003760,90,2025-11-04T18:05:55Z,7177564894,1,region
sell,495200.0,12,14,30000142,60003760,90,2025-10-11T07:39:08Z,7159696437,1,region
sell,495600.0,1,1,30000142,60003760,90,2025-09-28T21:24:05Z,7151165811,1,region
sell,496700.0,4,4,30000142,60003760,90,2025-09-20T15:31:40Z,7145508751,1,region
sell,500000.0,1,1,30000142,60003760,90,2025-09-12T21:16:40Z,7140468846,1,region
sell,700000.0,1,1,30000142,60003760,90,2025-09-07T11:06:53Z,7136982092,1,region
