side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,5.0,6,9,30000142,60003760,30,2025-11-08T12:26:02Z,7180941317,1,5
buy,4.02,30,30,30000142,60003760,90,2025-11-03T18:41:26Z,7177507179,1,station
buy,3.0,100,100,30000142,60003760,90,2025-11-02T22:17:25Z,7176901296,1,1
sell,8900000.0,1,1,30000142,60003760,90,2025-11-15T05:37:19Z,7177918519,1,region
sell,8900000.0,2,2,30000142,60003760,30,2025-11-15T12:53:35Z,7174673096,1,region
sell,9090000.0,3,3,30000142,60003760,90,2025-11-15T02:19:45Z,7186242392,1,region
sell,9100000.0,1,1,30000142,60003760,90,2025-11-12T21:28:44Z,7183591653,1,region
sell,9189000.0,2,2,30000142,60003760,90,2025-11-12T17:07:46Z,7182447724,1,region
sell,9190000.0,1,1,30000142,60003760,90,2025-11-12T15:37:13Z,7180505719,1,region
sell,9290000.0,1,1,30000142,60003760,90,2025-11-11T18:37:40Z,7181038614,1,region
sell,9400000.0,1,1,30000142,60003760,14,2025-11-11T03:35:51Z,7181652948,1,region
sell,9444000.0,2,2,30000142,60003760,30,2025-11-10T19:37:03Z,7182912216,1,region
sell,9680000.0,2,2,30000142,60003760,90,2025-11-08T00:22:43Z,7180596503,1,region
sell,9898000.0,1,1,30000142,60003760,90,2025-11-03T18:41:20Z,7177507097,1,region
