side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,462.0,4,5,30000142,60003760,30,2025-11-15T10:42:38Z,7178012164,1,5
buy,461.5,28,30,30000142,60003760,90,2025-11-15T10:21:39Z,7166974925,1,station
buy,461.3,5,6,30000142,60003760,90,2025-11-15T06:22:37Z,7137121144,1,station
buy,461.2,10,10,30000142,60003760,90,2025-11-15T04:11:40Z,7158609253,1,station
buy,461.0,7,10,30000142,60003760,90,2025-11-14T22:12:16Z,7173395318,1,5
buy,451.7,8,10,30000142,60003760,90,2025-11-09T22:31:52Z,7166974223,1,3
buy,442.0,1,1,30000142,60003760,90,2025-11-04T07:19:15Z,7171779747,1,40
buy,440.0,45,50,30000142,60003760,90,2025-11-02T18:46:53Z,7032086333,1,3
buy,418.8,15,15,30000144,1044752365771,90,2025-10-27T06:23:39Z,7171731160,1,1
buy,415.4,92,100,30000142,60003760,90,2025-10-11T21:33:06Z,7143808553,1,station
buy,415.0,1000,1000,30000142,60003760,90,2025-09-28T20:30:33Z,7151133887,1,region
buy,413.5,8,12,30000142,60003760,90,2025-09-25T12:28:52Z,7099226548,1,1
sell,2900000.0,1,1,30000142,60003760,90,2025-11-15T04:11:49Z,7186295496,1,region
sell,2900000.0,1,1,30000142,60003760,30,2025-11-15T12:39:20Z,7186564092,1,region
sell,2902000.0,1,4,30000142,60003760,90,2025-11-05T02:34:41Z,7116404939,1,region
sell,2949000.0,5,7,30000142,60003760,90,2025-11-02T18:46:48Z,7141133910,1,region
sell,3000000.0,2,2,30000142,60003760,90,2025-10-29T11:57:06Z,7173304301,1,region
sell,3490000.0,1,1,30000142,60003760,90,2025-10-17T13:27:24Z,7164383463,1,region
sell,3572000.0,22,23,30000142,60003760,90,2025-09-13T13:59:42Z,7135429220,1,region
sell,4000000.0,1,1,30000142,60003760,90,2025-08-30T17:47:02Z,7131890670,1,region
