side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,33170.0,6,9,30000142,60003760,30,2025-11-15T10:39:16Z,7180120494,1,5
buy,33160.0,92,100,30000142,60003760,90,2025-11-11T21:41:15Z,7042145620,1,1
buy,33140.0,81,100,30000142,60003760,90,2025-10-17T16:21:44Z,7034495617,1,3
buy,1000.0,15,15,30000144,1044752365771,90,2025-10-27T06:09:18Z,7171727324,1,1
sell,497900.0,2,2,30000142,60003760,90,2025-11-10T04:40:38Z,7182445538,1,region
sell,498000.0,1,1,30000142,60003760,90,2025-11-08T00:19:30Z,7180595201,1,region
sell,499000.0,2,3,30000142,60003760,90,2025-11-03T20:04:31Z,7177569951,1,region
sell,500000.0,8,10,30000142,60003760,90,2025-10-22T16:51:13Z,7168239865,1,region
sell,600000.0,1,1,30000142,60003760,90,2025-10-18T14:01:53Z,7149701695,1,region
sell,695000.0,3,4,30000142,60003760,90,2025-10-11T20:20:12Z,7160229350,1,region
sell,699000.0,13,13,30000142,60003760,90,2025-10-11T07:44:28Z,7159699207,1,region
sell,1288000.0,16,16,30000142,60003760,90,2025-09-20T19:28:31Z,7145663758,1,region
sell,1292000.0,4,7,30000142,60003760,90,2025-09-13T18:41:15Z,7034496027,1,region
sell,1293000.0,1,1,30000142,60003760,90,2025-09-12T16:37:50Z,7075026393,1,region
sell,1298000.0,1,1,30000142,60003760,90,2025-09-06T19:00:54Z,7136534229,1,region
sell,1300000.0,1,1,30000142,60003760,90,2025-08-26T16:48:06Z,7129297394,1,region
sell,1319000.0,1,1,30000142,60003760,90,2025-08-23T13:05:01Z,7127018534,1,region
