side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1004000.0,9,10,30000142,60003760,90,2025-11-15T14:02:53Z,7158860208,1,station
buy,1003000.0,2,5,30000142,60003760,90,2025-11-06T05:01:40Z,7111247612,1,5
buy,1000000.0,1,3,30000144,1044752365771,90,2025-10-18T12:22:25Z,7009966034,1,40
sell,9688000.0,1,1,30000142,60003760,90,2025-11-12T21:13:05Z,7184520842,1,region
sell,9700000.0,1,1,30000142,60003760,90,2025-11-12T20:33:41Z,6783438801,1,region
sell,9739000.0,1,3,30000142,60003760,90,2025-11-07T21:45:17Z,7180516646,1,region
sell,9740000.0,2,2,30000142,60003760,90,2025-09-14T17:39:06Z,7141866203,1,region
sell,9850000.0,1,1,30000142,60003760,90,2025-09-06T21:12:27Z,7129475862,1,region
sell,10000000.0,1,1,30000142,60003760,90,2025-11-01T21:46:53Z,7083420476,1,region
sell,10950000.0,1,1,30000142,60003760,90,2025-09-03T04:58:47Z,7134286682,1,region
sell,11000000.0,1,1,30000142,60003760,90,2025-08-30T12:27:57Z,7131693615,1,region
sell,13950000.0,1,1,30000142,60003760,90,2025-08-23T21:18:44Z,7127337753,1,region
sell,17460000.0,9,11,30000142,60003760,90,2025-09-18T15:54:52Z,6425403693,1,region
