side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,122700000.0,3,3,30000142,60003760,90,2025-11-16T04:43:23Z,7185697085,1,station
buy,122600000.0,4,5,30000142,60003760,90,2025-11-15T07:27:01Z,7186386343,1,station
buy,121300000.0,3,3,30000142,60003760,90,2025-11-15T06:21:14Z,7186356537,1,station
buy,121000000.0,1,1,30000142,60003760,90,2025-11-14T18:31:50Z,7185948446,1,station
buy,105400000.0,1,1,30000144,1044752365771,90,2025-10-19T12:32:20Z,7165935255,1,1
buy,80830000.0,4,4,30000142,60003760,90,2025-10-13T04:39:58Z,7158716751,1,station
buy,159.0,150,150,30000142,60003760,90,2025-09-23T21:00:51Z,7147769278,1,region
buy,0.01,1,1,30000144,1044752365771,90,2025-09-10T19:22:43Z,7139149563,1,5
sell,131700000.0,1,1,30000142,60003760,90,2025-11-16T05:10:26Z,7187142055,1,region
sell,131800000.0,1,3,30000142,60003760,90,2025-11-16T05:09:47Z,7186626870,1,region
sell,131900000.0,3,3,30000142,60003760,90,2025-11-16T01:04:17Z,7187147002,1,region
sell,132100000.0,1,1,30000142,60003760,90,2025-11-15T23:34:09Z,7187094804,1,region
sell,132300000.0,3,10,30000142,60003760,90,2025-11-15T21:43:55Z,7180020637,1,region
sell,132800000.0,1,1,30000142,60003760,90,2025-11-15T21:06:13Z,7186981917,1,region
sell,133300000.0,1,3,30000142,60003760,90,2025-11-15T07:26:39Z,7186386137,1,region
sell,133800000.0,1,1,30000142,60003760,90,2025-11-15T03:44:22Z,7186282511,1,region
sell,134000000.0,1,1,30000142,60003760,90,2025-11-14T23:42:51Z,7186162344,1,region
sell,134000000.0,1,1,30000142,60003760,90,2025-11-14T21:59:35Z,7186097548,1,region
sell,135000000.0,2,2,30000142,60003760,90,2025-11-14T17:14:48Z,7185884917,1,region
sell,150000000.0,1,2,30000142,60003760,14,2025-11-14T03:19:12Z,7185462815,1,region
sell,159000000.0,1,1,30000142,60003760,90,2025-11-14T18:31:31Z,7185948228,1,region
sell,160800000.0,4,11,30000142,60003760,90,2025-11-14T05:58:53Z,7182446256,1,region
sell,160900000.0,8,8,30000142,60003760,90,2025-11-14T03:36:39Z,7185471032,1,region
sell,162100000.0,2,2,30000142,60003760,90,2025-11-13T18:23:54Z,7185161755,1,region
sell,162500000.0,1,1,30000142,60003760,30,2025-11-13T14:45:31Z,7185018299,1,region
sell,164900000.0,13,13,30000142,60003760,90,2025-11-11T23:50:51Z,7183851969,1,region
sell,166700000.0,1,1,30000142,60003760,90,2025-11-11T20:56:58Z,7183755290,1,region
sell,167400000.0,1,2,30000142,60003760,90,2025-11-11T00:25:01Z,7183087973,1,region
sell,167700000.0,5,5,30000142,60003760,90,2025-11-10T05:38:06Z,7182466179,1,region
sell,168300000.0,1,1,30000142,60003760,90,2025-11-09T02:35:21Z,7181516349,1,region
sell,168500000.0,1,1,30000142,60003760,90,2025-11-09T00:56:13Z,7181470445,1,region
sell,168600000.0,1,1,30000142,60003760,90,2025-11-09T00:36:16Z,7172315847,1,region
sell,168700000.0,1,1,30000142,60003760,30,2025-11-08T17:14:59Z,7181157977,1,region
sell,170000000.0,6,10,30000142,60003760,90,2025-10-29T13:39:17Z,7173361768,1,region
sell,189000000.0,5,5,30000142,60003760,90,2025-10-27T23:40:01Z,7171253297,1,region
sell,197400000.0,14,14,30000142,60003760,90,2025-11-08T18:45:42Z,7172079557,1,region
sell,197500000.0,1,1,30000142,60003760,90,2025-10-28T00:58:16Z,7172315555,1,region
sell,199000000.0,3,3,30000142,60003760,90,2025-10-27T12:22:38Z,7170235808,1,region
sell,199800000.0,5,5,30000142,60003760,90,2025-10-27T12:22:45Z,7171265618,1,region
sell,208000000.0,2,2,30000142,60003760,90,2025-10-27T05:00:24Z,7171706380,1,region
sell,212700000.0,1,1,30000142,60003760,90,2025-10-27T01:26:59Z,7171627142,1,region
sell,214200000.0,2,3,30000142,60003760,90,2025-10-26T17:52:11Z,7171328363,1,region
sell,299800000.0,1,1,30000142,60003760,90,2025-10-25T12:28:49Z,7170219933,1,region
