side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,203300.0,10,15,30000142,60003760,90,2025-10-21T19:44:36Z,7167683683,1,station
buy,201300.0,10,10,30000142,60003760,90,2025-09-27T06:07:56Z,7149829435,1,station
buy,201200.0,12,15,30000142,60003760,90,2025-09-20T05:25:27Z,7122929599,1,4
buy,201100.0,4,5,30000142,60003760,90,2025-08-20T12:24:52Z,7125073855,1,station
sell,9664000.0,10,10,30000142,60003760,90,2025-11-12T20:46:25Z,6789451066,1,region
sell,9665000.0,7,10,30000142,60003760,90,2025-10-01T22:06:24Z,7094739185,1,region
sell,9670000.0,5,6,30000142,60003760,90,2025-09-28T07:03:13Z,7126820810,1,region
sell,9696000.0,1,1,30000142,60003760,90,2025-09-26T21:14:00Z,7075493500,1,region
sell,9740000.0,5,5,30000142,60003760,90,2025-09-20T13:32:35Z,7145433835,1,region
sell,9949000.0,1,1,30000142,60003760,90,2025-09-02T05:49:48Z,7124330583,1,region
