side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,5982000.0,3,10,30000142,60003760,90,2025-11-16T00:20:45Z,7133349038,1,region
buy,5953000.0,2,2,30000142,60003760,90,2025-11-13T22:31:33Z,7176580849,1,1
buy,5888000.0,2,2,30000142,60003760,90,2025-11-12T13:54:55Z,7131098713,1,5
buy,5887000.0,3,3,30000144,1044752365771,90,2025-11-11T19:46:26Z,7129706882,1,1
buy,5882000.0,1,3,30000142,60003760,90,2025-11-10T14:14:14Z,6966913457,1,station
buy,5784000.0,1,1,30000142,60003760,30,2025-11-08T13:01:47Z,7173263007,1,station
buy,4998000.0,1,1,30000142,60003760,90,2025-10-28T09:56:13Z,7172505110,1,station
buy,4745000.0,1,1,30000142,60003760,30,2025-10-24T08:56:08Z,7164861593,1,station
buy,4739000.0,2,2,30000144,1044752365771,90,2025-10-23T15:00:25Z,7168842693,1,1
buy,4677000.0,5,5,30000142,60003760,90,2025-10-20T15:26:37Z,7166829184,1,station
buy,4500000.0,1,1,30000144,1044752365771,90,2025-10-18T12:17:36Z,6999249887,1,20
buy,3400000.0,1,1,30000142,60003760,90,2025-09-19T10:55:47Z,7144655508,1,4
buy,3151000.0,1,2,30000142,60003760,90,2025-09-02T05:13:50Z,6996637856,1,station
sell,30890000.0,6,6,30000142,60003760,90,2025-11-16T00:20:53Z,7184981224,1,region
sell,30930000.0,1,1,30000142,60003760,90,2025-11-14T11:53:38Z,7129706848,1,region
sell,31000000.0,1,1,30000142,60003760,30,2025-11-13T07:34:55Z,7184804984,1,region
sell,31020000.0,2,2,30000142,60003760,90,2025-11-01T14:08:44Z,7175621792,1,region
sell,31080000.0,9,10,30000142,60003760,90,2025-10-31T12:19:41Z,7170929357,1,region
sell,31100000.0,5,5,30000142,60003760,90,2025-10-29T13:41:56Z,7173362973,1,region
sell,31690000.0,1,2,30000142,60003760,90,2025-09-26T23:15:13Z,7149676004,1,region
sell,31860000.0,2,2,30000142,60003760,90,2025-09-07T02:48:35Z,7136768247,1,region
sell,32000000.0,7,10,30000142,60003760,90,2025-09-03T11:56:45Z,7115376663,1,region
sell,32610000.0,2,2,30000142,60003760,90,2025-09-28T07:03:58Z,7126821616,1,region
sell,33050000.0,1,1,30000142,60003760,90,2025-09-02T05:14:00Z,7077839699,1,region
sell,34090000.0,13,13,30000142,60003760,90,2025-08-23T16:27:40Z,7127146986,1,region
