side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,70120.0,10,10,30000142,60003760,90,2025-11-06T18:16:11Z,7179696513,1,5
buy,70110.0,4,5,30000144,1044752365771,90,2025-10-23T14:53:57Z,7168838644,1,1
buy,70090.0,4,20,30000142,60003760,90,2025-09-20T05:22:09Z,7118308359,1,4
buy,70070.0,3,3,30000142,60003760,90,2025-08-27T19:04:05Z,7129969941,1,station
sell,300000.0,3,3,30000142,60003760,90,2025-11-16T05:31:09Z,7181561687,1,region
sell,470200.0,2,3,30000142,60003760,90,2025-11-11T20:57:41Z,7183755767,1,region
sell,1681000.0,2,5,30000142,60003760,90,2025-11-04T10:40:02Z,7177981856,1,region
sell,1700000.0,3,3,30000142,60003760,90,2025-09-25T15:09:46Z,7148785853,1,region
sell,2168000.0,1,1,30000142,60003760,90,2025-09-02T05:10:20Z,7110418683,1,region
sell,2281000.0,5,5,30000142,60003760,90,2025-08-23T06:10:49Z,7126821194,1,region
