side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,370500.0,52,54,30000144,1044752365771,90,2025-11-01T19:01:22Z,7175860594,1,1
buy,370400.0,7,10,30000142,60003760,90,2025-10-20T15:14:41Z,7166820488,1,station
buy,370300.0,4,5,30000142,60003760,90,2025-09-02T05:46:09Z,7088985063,1,station
buy,370200.0,2,5,30000142,60003760,90,2025-08-19T12:55:34Z,7093181794,1,station
sell,11450000.0,1,1,30000142,60003760,30,2025-11-08T00:27:57Z,7157385129,1,region
sell,11480000.0,2,2,30000142,60003760,90,2025-11-07T00:59:03Z,7179914933,1,region
sell,11500000.0,2,2,30000142,60003760,90,2025-10-31T12:17:15Z,7171886296,1,region
sell,11590000.0,10,10,30000142,60003760,90,2025-10-26T21:06:28Z,7170927503,1,region
sell,11830000.0,1,1,30000142,60003760,90,2025-10-23T20:31:42Z,7164053679,1,region
sell,12000000.0,5,5,30000142,60003760,90,2025-10-13T01:38:09Z,7161312718,1,region
sell,45000000.0,1,1,30000142,60003760,90,2025-10-12T17:08:12Z,7160978509,1,region
sell,45000000.0,2,2,30000142,60003760,90,2025-10-12T17:13:05Z,7160983198,1,region
sell,50000000.0,1,1,30000142,60003760,90,2025-10-10T04:43:47Z,7158883876,1,region
sell,68370000.0,1,1,30000142,60003760,90,2025-10-10T10:55:51Z,7159028850,1,region
sell,68390000.0,1,1,30000142,60003760,90,2025-10-07T03:21:28Z,7156700913,1,region
sell,68400000.0,5,6,30000142,60003760,90,2025-10-01T22:27:41Z,7153026536,1,region
sell,68500000.0,2,2,30000142,60003760,90,2025-09-09T17:56:47Z,6878928597,1,region
