side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,15000000.0,8,10,30000144,1042508032148,90,2025-11-13T11:11:46Z,7184903022,1,5
buy,15000000.0,10,10,30000144,1042508032148,90,2025-11-15T08:33:35Z,7186418935,1,5
buy,0.01,997,1000,30000142,60003760,90,2025-09-15T06:14:00Z,7142210292,1,region
sell,20000000.0,10,10,30000133,60000400,365,2025-09-04T04:46:32Z,4992799345,1,region
sell,20000000.0,10,10,30000136,60000397,365,2025-09-05T11:05:37Z,4992799344,1,region
sell,20000000.0,10,10,30000138,60000394,365,2025-10-07T01:50:04Z,4992799343,1,region
sell,20000000.0,10,10,30000139,60000367,365,2025-09-01T13:01:04Z,4992799334,1,region
sell,20000000.0,10,10,30000142,60000364,365,2025-10-22T16:19:58Z,4992799333,1,region
sell,20000000.0,9,9,30000143,60006883,365,2025-11-07T11:03:31Z,4992799108,1,region
sell,20000000.0,9,9,30000143,60006886,365,2025-10-31T18:24:45Z,4992799109,1,region
sell,20000000.0,9,9,30000144,60006880,365,2025-11-14T10:32:46Z,4992799107,1,region
sell,20000000.0,10,10,30000144,60000358,365,2025-11-15T08:13:46Z,4992799331,1,region
sell,20000000.0,9,9,30000159,60006856,365,2025-11-03T11:03:29Z,4992799099,1,region
sell,20000000.0,9,9,30000162,60006853,365,2025-11-05T11:03:33Z,4992799098,1,region
sell,20000000.0,9,9,30000163,60006859,365,2025-11-12T01:41:39Z,4992799100,1,region
sell,20000000.0,20,20,30000165,60002422,365,2025-09-16T11:19:12Z,4992799313,1,region
sell,20000000.0,20,20,30000165,60002425,365,2025-10-06T11:12:34Z,4992799314,1,region
sell,20000000.0,9,9,30000189,60010822,365,2025-09-07T09:35:42Z,4992799152,1,region
sell,20000000.0,9,9,30000190,60010819,365,2025-10-31T11:03:36Z,4992799151,1,region
sell,20000000.0,10,10,30000193,60000385,365,2025-11-05T11:03:33Z,4992799340,1,region
sell,20000000.0,10,10,30000193,60000388,365,2025-09-09T11:06:29Z,4992799341,1,region
sell,20000000.0,9,9,30000193,60010816,365,2025-10-25T11:03:21Z,4992799150,1,region
sell,20000000.0,20,20,30000202,60002377,365,2025-10-31T11:03:36Z,4992799298,1,region
sell,20000000.0,20,20,30000203,60002374,365,2025-10-01T11:14:04Z,4992799297,1,region
sell,20000000.0,10,10,30000142,60000361,365,2025-11-15T15:44:04Z,4992799332,1,region
sell,20000000.0,10,10,30000138,60000403,365,2025-11-15T22:25:32Z,4992799346,1,region
sell,20960000.0,6,42,30000142,60003760,90,2025-11-11T18:38:40Z,7183647824,1,region
sell,20970000.0,54,60,30000142,60003760,90,2025-10-06T17:53:09Z,7154096919,1,region
