side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,61140000.0,1,3,30000142,60003760,14,2025-11-15T21:33:50Z,7165762271,1,station
buy,61130000.0,1,1,30000142,60003760,3,2025-11-15T20:50:45Z,7183455329,1,station
buy,61120000.0,1,1,30000142,60003760,3,2025-11-15T13:53:19Z,7186624094,1,station
buy,61110000.0,1,1,30000144,1042508032148,90,2025-11-15T10:09:41Z,7180834131,1,1
buy,60550000.0,1,1,30000142,60003760,90,2025-11-13T08:08:29Z,7163573157,1,1
buy,60040000.0,3,3,30000144,1042508032148,90,2025-11-13T00:38:55Z,7173651391,1,40
buy,60000000.0,5,8,30000142,60003760,90,2025-11-12T17:43:07Z,7175462374,1,station
buy,53450000.0,3,3,30000142,60003760,90,2025-10-30T20:25:18Z,7173626451,1,station
buy,53100000.0,1,1,30000144,1044752365771,90,2025-10-27T20:29:06Z,7172172989,1,1
buy,15.15,150,150,30000142,60003760,90,2025-09-24T18:40:59Z,7148297165,1,region
buy,1.0,1,1,30000144,1044752365771,90,2025-09-20T19:18:46Z,7135682159,1,1
sell,91630000.0,1,2,30000142,60003760,90,2025-09-02T22:44:46Z,7134141170,1,region
sell,129800000.0,10,10,30000142,60003760,90,2025-11-15T23:32:12Z,7187093213,1,region
sell,129900000.0,5,5,30000142,60003760,90,2025-11-15T22:18:53Z,7187041601,1,region
