side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1219000.0,1,1,30000142,60003760,90,2025-11-07T07:29:01Z,7163517233,1,1
buy,1011000.0,1,1,30000144,1044752365771,90,2025-11-14T14:24:22Z,7185768208,1,1
buy,1010000.0,5,5,30000144,1044752365771,90,2025-09-06T02:37:16Z,7100708774,1,1
buy,1003000.0,1,1,30000142,60003760,90,2025-08-23T12:23:18Z,7123866190,1,station
buy,1003000.0,2,2,30000142,60003760,90,2025-08-21T08:38:35Z,7080653969,1,station
buy,425200.0,5,5,30000142,60003760,90,2025-10-12T18:58:13Z,7042391803,1,station
sell,5440000.0,1,2,30000142,60003760,90,2025-09-29T13:33:54Z,7151525134,1,region
sell,5450000.0,1,1,30000142,60003760,90,2025-09-29T12:27:29Z,7151494611,1,region
sell,6000000.0,1,1,30000142,60003760,90,2025-08-30T17:34:16Z,7131883279,1,region
sell,6747000.0,1,1,30000142,60003760,90,2025-08-25T20:32:43Z,7128789968,1,region
sell,6749000.0,1,1,30000142,60003760,90,2025-08-25T10:22:30Z,7128451801,1,region
