side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,759.0,12696,25000,30000144,1044752365771,90,2025-11-16T05:25:13Z,7185317559,1,1
buy,758.9,138964,350000,30000144,1044752365771,90,2025-11-15T23:58:07Z,7178402407,1,1
buy,758.1,114022,160000,30000142,60003760,14,2025-11-15T07:26:31Z,7178350897,1,station
buy,757.7,490283,500000,30000142,60003760,90,2025-11-14T17:40:17Z,7181990030,1,station
buy,757.2,100000,100000,30000142,60003760,90,2025-11-14T17:13:05Z,7174611695,1,station
buy,755.9,250000,250000,30000142,60003760,90,2025-11-13T09:51:10Z,7184863691,1,station
buy,115.0,100000,100000,30000144,1044752365771,90,2025-10-21T19:03:26Z,7167658306,1,region
buy,0.01,100000,100000,30000142,60003760,90,2025-09-10T08:11:53Z,7138807398,1,40
sell,949.6,102663,150000,30000142,60003760,90,2025-11-11T17:26:20Z,7183592812,1,region
sell,949.9,11500,11500,30000142,60003760,90,2025-11-11T09:13:13Z,7183323443,1,region
sell,980.0,7441,9941,30000142,60003760,90,2025-11-09T17:21:23Z,7182046316,1,region
sell,1000.0,17999,25000,30000142,60003760,90,2025-11-08T18:36:30Z,7179044555,1,region
sell,1070.0,30000,30000,30000142,60003760,90,2025-11-08T10:47:13Z,7180879615,1,region
sell,1088.0,4500,4500,30000142,60003760,90,2025-11-07T19:47:16Z,7180442341,1,region
sell,1183.0,58602,58602,30000142,60003760,90,2025-11-04T20:19:18Z,7178356573,1,region
sell,1184.0,14031,14031,30000142,60003760,14,2025-11-03T23:01:20Z,7177680307,1,region
sell,1184.0,1000,1000,30000142,60003760,14,2025-11-04T09:45:55Z,7177955932,1,region
sell,1185.0,118621,238069,30000142,60003760,90,2025-11-01T09:04:45Z,7173755518,1,region
sell,1198.0,18500,18500,30000142,60003760,90,2025-11-01T08:47:11Z,7175426502,1,region
sell,1226.0,43940,43940,30000142,60003760,90,2025-10-30T18:02:52Z,7174271798,1,region
sell,1226.0,5411,18006,30000142,60003760,90,2025-10-29T17:13:57Z,7151114030,1,region
sell,1227.0,23000,25000,30000142,60003760,90,2025-10-29T14:16:04Z,7173382887,1,region
sell,1229.0,12500,25000,30000142,60003760,90,2025-10-28T15:14:38Z,7172674045,1,region
sell,1230.0,150922,152922,30000142,60003760,90,2025-10-28T15:03:59Z,7172667575,1,region
sell,1232.0,11725,70000,30000142,60003760,90,2025-10-25T18:49:30Z,7170510092,1,region
sell,1233.0,111614,250000,30000142,60003760,90,2025-10-25T16:34:28Z,7150779227,1,region
sell,1286.0,57035,57035,30000142,60003760,90,2025-10-20T18:07:31Z,7166943417,1,region
sell,1368.0,30000,30000,30000142,60003760,90,2025-10-18T16:11:05Z,7165250369,1,region
sell,1370.0,107235,107235,30000142,60003760,90,2025-10-18T13:21:59Z,7165134063,1,region
sell,1397.0,24000,25000,30000142,60003760,90,2025-10-17T00:37:53Z,7155849069,1,region
sell,1400.0,25000,25000,30000142,60003760,90,2025-10-30T23:00:45Z,7143428480,1,region
sell,1400.0,2526,2526,30000142,60003760,90,2025-10-20T09:58:43Z,7166650688,1,region
sell,1443.0,10000,10000,30000142,60003760,90,2025-10-12T23:01:17Z,7161118058,1,region
sell,1446.0,75000,75000,30000142,60003760,30,2025-11-06T04:19:46Z,7179275302,1,region
sell,1564.0,714,714,30000142,60003760,90,2025-10-08T16:29:49Z,7157797292,1,region
sell,1573.0,7866,7866,30000142,60003760,90,2025-10-06T10:13:04Z,7156059201,1,region
sell,1592.0,43132,54019,30000142,60003760,90,2025-10-01T16:45:31Z,7152842774,1,region
sell,1593.0,500,500,30000142,60003760,90,2025-09-30T09:28:15Z,7152026323,1,region
sell,1719.0,66345,75000,30000142,60003760,90,2025-09-29T01:18:00Z,7149423252,1,region
sell,1725.0,25000,25000,30000142,60003760,90,2025-09-28T12:12:19Z,7150097805,1,region
sell,1727.0,797,797,30000142,60003760,90,2025-09-28T11:41:35Z,7150758082,1,region
sell,1735.0,50000,50000,30000142,60003760,90,2025-09-27T19:46:03Z,7150310311,1,region
sell,1748.0,31557,34557,30000142,60003760,90,2025-09-26T11:46:54Z,7149295659,1,region
sell,1750.0,25000,25000,30000142,60003760,90,2025-09-19T12:52:53Z,7144711058,1,region
sell,1775.0,663,12663,30000142,60003760,90,2025-09-17T02:35:09Z,7143325927,1,region
sell,1800.0,15494,15494,30000142,60003760,90,2025-09-16T10:06:36Z,7142899825,1,region
sell,1869.0,25000,25000,30000142,60003760,90,2025-09-16T06:09:16Z,7142666945,1,region
sell,1874.0,25000,25000,30000142,60003760,90,2025-09-15T19:20:48Z,7142583769,1,region
sell,1879.0,2775,6346,30000142,60003760,90,2025-09-14T20:16:41Z,7141976013,1,region
sell,1882.0,9267,30000,30000142,60003760,90,2025-09-13T21:21:59Z,7141234754,1,region
sell,1882.0,32951,32951,30000142,60003760,90,2025-09-16T04:09:46Z,7086867248,1,region
sell,2300.0,25000,25000,30000142,60003760,90,2025-09-14T21:33:30Z,7142023513,1,region
