side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,25630000.0,1,3,30000142,60003760,90,2025-11-11T17:48:57Z,7183608563,1,station
buy,25260000.0,2,3,30000142,60003760,90,2025-11-16T06:06:41Z,7182894671,1,station
buy,25240000.0,50,50,30000144,1044752365771,30,2025-11-16T02:22:48Z,7187189506,1,1
buy,25230000.0,13,15,30000144,1044752365771,90,2025-11-10T21:59:20Z,7183009647,1,1
buy,25190000.0,5,5,30000142,60003760,90,2025-11-10T21:14:19Z,7182980598,1,station
buy,25130000.0,3,3,30000144,1044752365771,90,2025-11-10T19:59:27Z,7182928999,1,2
buy,25000000.0,5,5,30000142,60003760,90,2025-11-10T18:40:18Z,7182316566,1,station
buy,24700000.0,19,20,30000144,1044752365771,90,2025-11-10T08:15:10Z,7182520319,1,1
buy,24620000.0,6,30,30000142,60003760,90,2025-11-09T19:23:12Z,7181689422,1,station
buy,24430000.0,2,5,30000142,60003760,90,2025-11-07T19:27:42Z,7157021460,1,1
buy,24030000.0,18,20,30000144,1044752365771,90,2025-11-05T16:25:43Z,7178005897,1,solarsystem
buy,23900000.0,5,5,30000144,1044752365771,90,2025-11-05T03:10:02Z,7178558133,1,1
buy,23560000.0,1,50,30000144,1044752365771,90,2025-11-04T10:45:52Z,7177984562,1,1
buy,22760000.0,8,10,30000144,1044752365771,90,2025-09-19T20:18:49Z,7144933378,1,1
buy,21000000.0,5,5,30000142,60003760,90,2025-09-17T17:29:05Z,7143663033,1,station
buy,5002000.0,10,10,30000142,60003760,90,2025-09-17T15:44:06Z,7143609095,1,station
buy,5000000.0,50,50,30000144,1044752365771,90,2025-09-17T13:44:15Z,7143548830,1,1
buy,506200.0,2,2,30000142,60003760,90,2025-11-10T03:10:35Z,7176908551,1,region
buy,506100.0,20,20,30000142,60003760,90,2025-11-09T17:51:58Z,7146216647,1,region
buy,505900.0,200,200,30000144,1044752365771,90,2025-11-02T12:31:39Z,7143210479,1,40
buy,502900.0,100,100,30000144,1044752365771,90,2025-10-05T18:24:18Z,7036211616,1,40
sell,27000000.0,1,1,30000135,60006433,7,2025-11-10T01:18:26Z,7182367605,1,region
sell,27510000.0,1,1,30030141,60015027,90,2025-11-02T17:23:23Z,7176672192,1,region
sell,28240000.0,2,2,30000142,60003760,90,2025-11-16T06:41:27Z,7187323546,1,region
sell,28250000.0,1,1,30000142,60003760,7,2025-11-16T05:58:24Z,7187302058,1,region
sell,28330000.0,6,6,30000142,60003760,90,2025-11-16T05:14:34Z,7187248477,1,region
sell,28340000.0,1,1,30000138,60000394,30,2025-11-15T17:36:57Z,7186807984,1,region
sell,28340000.0,17,17,30000142,60003760,90,2025-11-16T04:59:30Z,7187273287,1,region
sell,28350000.0,13,18,30000142,60003760,90,2025-11-16T04:18:56Z,7186870272,1,region
sell,28350000.0,10,10,30000142,60003760,90,2025-11-16T04:19:08Z,7183951386,1,region
sell,28380000.0,5,6,30000142,60003760,90,2025-11-15T12:28:24Z,7186556257,1,region
sell,28400000.0,15,29,30000142,60003760,90,2025-11-13T23:15:04Z,7185352097,1,region
sell,28500000.0,3,3,30000142,60003760,90,2025-11-13T23:06:10Z,7185347038,1,region
sell,28690000.0,3,4,30000142,60003760,90,2025-11-13T21:13:47Z,7184704005,1,region
sell,29500000.0,16,16,30000142,60003760,90,2025-11-14T18:50:19Z,7185961989,1,region
