side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,27000000.0,2,2,30000142,60003760,90,2025-11-12T20:43:31Z,7181189065,1,station
buy,15000000.0,1,1,30000142,60003760,90,2025-10-31T16:56:23Z,7110822943,1,station
buy,6002000.0,10,10,30000142,60003760,90,2025-10-20T07:35:01Z,7111033263,1,station
buy,5079000.0,1,1,30000142,60003760,90,2025-10-11T09:01:50Z,7154668288,1,station
buy,5000000.0,1,2,30000153,60002440,90,2025-11-03T07:08:54Z,7121954230,1,region
sell,200000000.0,1,1,30000197,60001624,30,2025-11-10T20:18:25Z,7182941224,1,region
sell,515000000.0,1,1,30000142,60003760,90,2025-11-11T14:52:42Z,7136158702,1,region
sell,516000000.0,1,1,30000142,60003760,90,2025-11-07T16:57:53Z,7180334972,1,region
sell,516100000.0,1,1,30000142,60003760,30,2025-10-30T12:32:36Z,7165054268,1,region
sell,518000000.0,1,1,30000142,60003760,90,2025-10-27T13:29:51Z,7169429242,1,region
