side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,151100.0,25,33,30000142,60003760,90,2025-11-03T21:43:11Z,7147699402,1,1
buy,50800.0,9,10,30000142,60003760,90,2025-10-28T17:11:23Z,7168459089,1,solarsystem
buy,0.1,999999,1000000,30000142,60003760,90,2025-09-16T16:52:41Z,7143081279,1,region
sell,1490000.0,1,1,30000142,60003760,3,2025-11-14T16:35:03Z,7184330934,1,region
sell,1500000.0,2,2,30000142,60003760,90,2025-11-14T02:27:51Z,7185442766,1,region
sell,1500000.0,1,1,30000142,60003760,90,2025-11-14T23:02:13Z,7186137638,1,region
sell,1573000.0,3,10,30000142,60003760,90,2025-11-13T00:03:58Z,7163358809,1,region
sell,1576000.0,1,1,30000142,60003760,90,2025-11-12T05:08:36Z,7183992921,1,region
sell,1578000.0,1,1,30000142,60003760,90,2025-11-11T19:20:17Z,7183679157,1,region
sell,1580000.0,1,1,30000142,60003760,90,2025-11-10T17:35:08Z,7182825007,1,region
sell,1590000.0,3,5,30000142,60003760,90,2025-10-09T20:23:16Z,7116595970,1,region
sell,1698000.0,1,1,30000142,60003760,90,2025-09-28T00:23:34Z,7150460298,1,region
sell,1748000.0,69,70,30000142,60003760,90,2025-09-14T21:00:35Z,7107371585,1,region
