side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1977000.0,20,20,30000142,60003760,90,2025-11-15T19:12:59Z,7167004189,1,station
buy,1962000.0,4,10,30000142,60003760,90,2025-11-09T15:04:49Z,7174925730,1,1
buy,1952000.0,42,42,30000142,60003760,90,2025-11-04T18:51:04Z,7177428518,1,station
buy,1888000.0,20,20,30000142,60003760,90,2025-10-22T20:09:15Z,7142351634,1,station
buy,1868000.0,10,10,30000142,60003760,90,2025-10-21T03:22:43Z,7164169702,1,station
buy,1789000.0,30,30,30000142,60003760,90,2025-10-15T23:29:15Z,7142346999,1,station
buy,1775000.0,50,50,30000142,60003760,90,2025-10-15T08:23:08Z,7161653709,1,station
buy,1677000.0,20,20,30000142,60003760,90,2025-10-05T12:18:35Z,7155373845,1,station
buy,1669000.0,20,20,30000142,60003760,90,2025-10-04T11:42:07Z,7154598563,1,station
sell,3678000.0,3,10,30000142,60003760,90,2025-11-14T23:42:30Z,7184564991,1,region
sell,3679000.0,232,232,30000142,60003760,90,2025-11-14T23:32:12Z,7186155694,1,region
sell,3680000.0,3,3,30000142,60003760,90,2025-11-14T20:13:23Z,7186021921,1,region
sell,3690000.0,8,8,30000142,60003760,90,2025-11-14T15:42:33Z,7185822461,1,region
sell,3700000.0,6,6,30000142,60003760,90,2025-11-14T02:23:16Z,7185440800,1,region
sell,3895000.0,14,14,30000142,60003760,90,2025-11-15T19:12:26Z,7186883738,1,region
sell,3896000.0,7,7,30000142,60003760,90,2025-11-13T21:53:14Z,7181927095,1,region
sell,3908000.0,6,6,30000142,60003760,14,2025-11-12T16:49:11Z,7184337586,1,region
sell,3909000.0,1,2,30000142,60003760,90,2025-11-09T15:04:57Z,7174926022,1,region
sell,3911000.0,6,6,30000142,60003760,90,2025-11-02T03:56:20Z,7176171695,1,region
sell,4117000.0,31,31,30000142,60003760,90,2025-10-31T15:02:10Z,7172302831,1,region
sell,4185000.0,3,11,30000142,60003760,90,2025-10-15T08:23:01Z,7161653609,1,region
sell,4188000.0,24,446,30000142,60003760,90,2025-10-18T17:07:34Z,6705314628,1,region
