side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,28620000.0,2,2,30000142,60003760,90,2025-11-12T16:17:17Z,6837352791,1,region
buy,28610000.0,1,1,30000142,60003760,90,2025-11-12T02:50:03Z,7169790067,1,region
buy,6048000.0,1,1,30000142,60003760,90,2025-10-02T08:17:56Z,7103057007,1,10
sell,234800000.0,1,1,30000142,60003760,90,2025-11-06T05:29:32Z,7130703602,1,region
sell,234900000.0,1,1,30000142,60003760,30,2025-11-05T06:42:24Z,7178633322,1,region
sell,235000000.0,2,2,30000142,60003760,30,2025-10-24T16:39:16Z,7169601559,1,region
sell,250000000.0,2,2,30000142,60003760,90,2025-10-21T20:17:00Z,7167708314,1,region
sell,260500000.0,1,1,30000142,60003760,90,2025-10-11T16:49:07Z,7072346836,1,region
sell,263700000.0,1,2,30000142,60003760,90,2025-09-30T10:34:46Z,7089801156,1,region
sell,263800000.0,1,1,30000142,60003760,90,2025-09-18T11:24:17Z,7088907726,1,region
sell,264000000.0,3,3,30000142,60003760,90,2025-09-01T23:22:16Z,7079145962,1,region
