side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,250000.0,1,5,30000142,60003760,90,2025-11-14T20:01:35Z,7186013483,1,solarsystem
buy,220000.0,10,10,30000142,60003760,90,2025-11-13T08:20:40Z,7182899105,1,station
buy,200300.0,1,1,30000142,60003760,90,2025-11-12T14:13:10Z,7184239663,1,station
buy,200200.0,3,3,30000142,60003760,90,2025-11-12T00:20:32Z,7183871411,1,1
buy,180200.0,9,10,30000142,60003760,90,2025-09-14T17:31:15Z,7134784311,1,station
buy,160200.0,16,50,30000142,60003760,90,2025-09-04T03:06:28Z,7118738087,1,1
sell,1849000.0,1,1,30000142,60003760,90,2025-11-16T05:49:24Z,7186411398,1,region
sell,1850000.0,13,15,30000142,60003760,90,2025-11-16T04:33:43Z,7144348980,1,region
sell,1851000.0,2,2,30000142,60003760,90,2025-11-16T04:33:19Z,7187260901,1,region
sell,1943000.0,9,10,30000142,60003760,90,2025-11-16T00:42:14Z,7182722316,1,region
sell,1945000.0,2,2,30000142,60003760,30,2025-11-15T17:16:10Z,7186363426,1,region
sell,1948000.0,2,3,30000142,60003760,90,2025-11-13T03:33:46Z,7178535979,1,region
sell,1960000.0,1,1,30000142,60003760,90,2025-11-12T14:12:56Z,7184239540,1,region
sell,1967000.0,1,1,30000142,60003760,90,2025-11-11T18:53:00Z,7170329338,1,region
sell,1968000.0,2,2,30000142,60003760,90,2025-11-11T14:36:13Z,7166887410,1,region
sell,1970000.0,1,1,30000142,60003760,90,2025-11-11T12:37:18Z,7183408889,1,region
sell,1977000.0,1,1,30000142,60003760,90,2025-11-05T08:56:49Z,7135806860,1,region
sell,1996000.0,9,9,30000142,60003760,90,2025-11-03T21:48:29Z,7177639826,1,region
sell,2000000.0,5,5,30000142,60003760,90,2025-11-02T21:44:48Z,7176878572,1,region
sell,2500000.0,2,2,30000142,60003760,90,2025-11-02T21:10:28Z,7176852591,1,region
sell,2984000.0,9,9,30000142,60003760,90,2025-11-02T20:23:31Z,7165620161,1,region
sell,3200000.0,3,3,30000142,60003760,90,2025-11-01T11:39:04Z,7175520375,1,region
sell,3348000.0,2,2,30000142,60003760,90,2025-10-31T18:54:48Z,7175037870,1,region
sell,3396000.0,1,1,30000142,60003760,90,2025-10-30T20:49:13Z,7172639258,1,region
sell,3475000.0,7,7,30000142,60003760,90,2025-10-30T05:41:57Z,7165525604,1,region
sell,3585000.0,20,20,30000142,60003760,90,2025-10-28T09:15:15Z,7172488570,1,region
sell,3600000.0,1,1,30000142,60003760,90,2025-10-27T13:30:55Z,7171904799,1,region
sell,4744000.0,5,5,30000142,60003760,90,2025-10-23T23:19:51Z,7138962674,1,region
sell,6994000.0,1,1,30000142,60003760,90,2025-09-19T16:48:49Z,7144837974,1,region
sell,8181000.0,3,3,30000142,60003760,90,2025-09-15T02:51:09Z,7142147383,1,region
sell,9488000.0,1,1,30000142,60003760,90,2025-09-07T19:27:24Z,7137301051,1,region
sell,9489000.0,2,2,30000142,60003760,90,2025-09-07T11:11:07Z,7135973324,1,region
sell,10360000.0,1,1,30000142,60003760,90,2025-11-02T15:06:18Z,7000717003,1,region
sell,10370000.0,3,3,30000142,60003760,90,2025-08-31T21:39:31Z,7132762161,1,region
