side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,8015.0,273,1000,30000142,60003760,90,2025-11-13T20:55:23Z,7181904564,1,3
buy,8013.0,352,500,30000142,60003760,90,2025-11-13T05:03:32Z,7177165567,1,station
buy,8009.0,332,2000,30000144,1042508032148,90,2025-11-11T17:12:26Z,7175221469,1,5
buy,8000.0,1292,3000,30000142,60003760,90,2025-09-08T15:35:22Z,7137788499,1,station
buy,1000.0,600,1000,30000142,60003760,90,2025-10-28T05:41:50Z,6946670559,1,region
sell,9486.0,9,10,30000142,60003760,14,2025-11-15T21:35:21Z,7187006366,1,region
sell,9487.0,24,30,30000142,60003760,90,2025-11-15T11:38:07Z,7178964330,1,region
sell,9487.0,1,1,30000142,60003760,90,2025-11-15T18:19:21Z,7186841568,1,region
sell,9490.0,3,4,30000142,60003760,30,2025-11-13T21:26:24Z,7185290108,1,region
sell,9500.0,17,17,30000142,60003760,90,2025-11-13T20:10:02Z,7185237808,1,region
sell,9993.0,3,4,30000142,60003760,90,2025-11-13T00:26:40Z,7184628007,1,region
sell,9993.0,5,5,30000142,60003760,30,2025-11-13T09:06:32Z,7184845020,1,region
sell,9994.0,3,3,30000142,60003760,30,2025-11-12T23:28:46Z,7184601587,1,region
sell,9995.0,3,5,30000142,60003760,90,2025-11-12T14:32:02Z,7184251070,1,region
sell,9996.0,3,12,30000142,60003760,90,2025-11-10T22:46:01Z,7183036637,1,region
sell,10000.0,2,2,30000142,60003760,90,2025-11-10T18:35:44Z,7182869542,1,region
sell,10000.0,1,1,30000188,60004474,90,2025-11-02T12:32:41Z,7176435173,1,region
sell,10440.0,1,1,30000142,60003760,30,2025-11-10T13:56:39Z,7182681866,1,region
sell,10500.0,1,1,30000142,60003760,90,2025-11-05T13:47:02Z,7178805294,1,region
sell,10950.0,1,1,30000142,60003760,90,2025-11-05T12:25:06Z,7178766022,1,region
sell,11000.0,1,1,30000142,60003760,90,2025-11-05T09:39:43Z,7178692564,1,region
sell,11970.0,307,307,30000142,60003760,90,2025-11-03T08:40:57Z,7177165406,1,region
sell,11970.0,97,102,30000142,60003760,90,2025-11-05T12:44:22Z,7131924698,1,region
sell,11970.0,1,2,30000142,60003760,90,2025-11-03T02:26:43Z,7177022218,1,region
sell,11980.0,122,122,30000142,60003760,90,2025-10-30T14:15:02Z,7174126624,1,region
sell,11990.0,3,3,30000142,60003760,90,2025-10-13T09:12:12Z,7161479143,1,region
sell,12960.0,1,3,30000142,60003760,90,2025-10-12T22:00:50Z,7161211164,1,region
sell,12970.0,275,631,30000142,60003760,90,2025-10-09T06:12:23Z,7158200340,1,region
sell,15000.0,2,2,30000142,60003760,90,2025-10-20T14:42:30Z,7166798875,1,region
sell,15940.0,3,3,30000142,60003760,90,2025-10-06T16:24:48Z,7156297736,1,region
sell,15960.0,3,3,30000142,60003760,90,2025-10-06T08:23:13Z,7156017109,1,region
sell,19860.0,182,182,30000142,60003760,90,2025-10-04T05:15:29Z,7154424504,1,region
sell,22080.0,3,3,30000142,60003760,90,2025-10-01T12:22:44Z,7152715111,1,region
sell,22100.0,10,11,30000142,60003760,90,2025-09-30T19:24:18Z,7152326457,1,region
sell,28620.0,26,26,30000142,60003760,90,2025-09-30T14:03:17Z,7152141453,1,region
sell,28620.0,3,3,30000142,60003760,90,2025-09-30T10:24:14Z,7152045021,1,region
sell,28950.0,2,3,30000142,60003760,90,2025-09-29T19:23:42Z,7151719269,1,region
sell,28960.0,141,145,30000142,60003760,90,2025-09-29T17:00:49Z,7151632547,1,region
sell,29000.0,1,1,30000142,60003760,90,2025-09-07T05:17:16Z,7136823098,1,region
sell,29970.0,36,36,30000142,60003760,90,2025-09-03T08:55:39Z,7134359733,1,region
sell,47860.0,2,2,30000142,60003760,90,2025-09-02T14:18:51Z,7133882851,1,region
sell,49800.0,10,10,30000142,60003760,90,2025-09-02T13:50:09Z,7133868152,1,region
sell,55000.0,1,1,30000142,60003760,90,2025-09-01T06:37:03Z,7133021175,1,region
sell,56630.0,16,29,30000142,60003760,90,2025-08-27T18:24:22Z,7129947414,1,region
sell,58990.0,4,4,30000142,60003760,90,2025-08-27T17:48:29Z,7129925609,1,region
sell,60000.0,791,791,30000142,60003760,90,2025-08-27T12:50:35Z,7129767345,1,region
