side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,3.09,76,100,30000142,60003760,90,2025-11-12T00:15:55Z,7183869171,1,3
buy,3.08,773,1000,30000142,60003760,90,2025-11-04T04:32:09Z,7139967669,1,5
buy,2.0,83,100,30000142,60003760,90,2025-10-11T20:39:03Z,7160242848,1,station
sell,74990.0,1,1,30000142,60003760,90,2025-11-15T20:41:32Z,7186962502,1,region
sell,75000.0,1,1,30000142,60003760,14,2025-11-14T16:52:09Z,7185868063,1,region
sell,79970.0,3,4,30000142,60003760,90,2025-11-10T07:45:48Z,7182509116,1,region
sell,79980.0,1,1,30000144,60002956,90,2025-11-09T21:18:31Z,7163588828,1,region
sell,80000.0,18,20,30000142,60003760,30,2025-11-01T03:15:55Z,7175296687,1,region
sell,90000.0,3,4,30000142,60003760,90,2025-10-28T23:35:27Z,7173010715,1,region
sell,209800.0,1,1,30000142,60003760,90,2025-10-28T16:14:32Z,7164864346,1,region
sell,209900.0,61,61,30000142,60003760,90,2025-10-28T09:22:09Z,7169245172,1,region
sell,235000.0,1,1,30000142,60003760,90,2025-10-27T01:04:34Z,7171615833,1,region
sell,240000.0,1,1,30000142,60003760,90,2025-10-26T18:52:08Z,7171377275,1,region
sell,268000.0,1,1,30000142,60003760,90,2025-10-26T11:07:49Z,7170675557,1,region
sell,2000000.0,1,1,30000142,60003760,90,2025-10-19T21:03:12Z,7166333719,1,region
sell,2750000.0,1,1,30000142,60003760,90,2025-10-18T21:54:34Z,7165495507,1,region
sell,3000000.0,1,1,30000142,60003760,90,2025-10-31T15:29:24Z,7174901051,1,region
sell,3175000.0,2,2,30000142,60003760,90,2025-10-17T21:11:11Z,7164675247,1,region
sell,4200000.0,1,1,30000142,60003760,90,2025-10-13T23:57:14Z,7162010809,1,region
