side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,9021.0,4,800,30000142,60003760,90,2025-10-29T06:32:30Z,6900900613,1,station
buy,9019.0,139,150,30000142,60003760,90,2025-10-25T22:10:53Z,7169493444,1,station
sell,19000.0,1,1,30000142,60003760,7,2025-11-15T21:45:46Z,7187015132,1,region
sell,19010.0,1,1,30000142,60003760,30,2025-11-15T09:54:50Z,7186464848,1,region
sell,19020.0,1,1,30000142,60003760,7,2025-11-11T12:16:08Z,7183397763,1,region
sell,20000.0,3,5,30000142,60003760,90,2025-11-02T17:50:09Z,7176695047,1,region
sell,28900.0,45,53,30000142,60003760,90,2025-10-25T09:47:50Z,7170122729,1,region
sell,29000.0,1,1,30000142,60003760,90,2025-10-24T18:24:39Z,7169676466,1,region
sell,29750.0,314,318,30000142,60003760,90,2025-10-10T14:50:10Z,7115714346,1,region
sell,59000.0,3,3,30000142,60003760,90,2025-10-05T18:51:30Z,7155662362,1,region
sell,66600.0,1,1,30000142,60003760,90,2025-10-03T18:02:02Z,7154112705,1,region
sell,84100.0,1,1,30000142,60003760,90,2025-08-21T01:59:35Z,7125465143,1,region
sell,100000.0,1,1,30000142,60003760,90,2025-10-13T08:20:26Z,7161458902,1,region
