side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,12020.0,99,100,30000142,60003760,90,2025-11-15T14:16:39Z,7113236155,1,station
buy,12010.0,3,10,30000142,60003760,90,2025-11-02T20:41:01Z,7149455022,1,region
buy,10330.0,2,10,30000144,1044752365771,90,2025-09-06T02:23:10Z,7118242154,1,1
buy,10320.0,49,50,30000142,60003760,90,2025-09-01T01:01:42Z,7126139699,1,1
sell,8386000.0,1,1,30000142,60003760,90,2025-11-16T07:57:50Z,7185862470,1,region
sell,8387000.0,1,1,30000142,60003760,90,2025-11-15T22:05:12Z,7183089378,1,region
sell,8390000.0,1,1,30000142,60003760,90,2025-11-15T16:53:30Z,7183502872,1,region
sell,8400000.0,1,1,30000142,60003760,90,2025-11-15T13:45:25Z,7186617438,1,region
sell,9498000.0,1,2,30000142,60003760,90,2025-11-14T01:33:18Z,7169166055,1,region
sell,9500000.0,1,1,30000142,60003760,90,2025-11-13T07:00:43Z,7184790590,1,region
sell,9513000.0,1,1,30000142,60003760,30,2025-11-10T19:31:35Z,7182908158,1,region
sell,9988000.0,1,1,30000142,60003760,90,2025-11-08T07:00:11Z,7180770423,1,region
sell,9989000.0,4,4,30000142,60003760,90,2025-10-31T08:09:23Z,7174674852,1,region
sell,9998000.0,10,10,30000142,60003760,90,2025-10-28T09:52:44Z,7172503591,1,region
sell,9999000.0,1,1,30000142,60003760,30,2025-10-26T11:16:54Z,7171041574,1,region
sell,10000000.0,1,1,30000142,60003760,90,2025-10-25T00:31:37Z,7169888094,1,region
sell,10000000.0,1,1,30000142,60003760,90,2025-10-23T16:09:47Z,7168884424,1,region
sell,11950000.0,14,15,30000142,60003760,90,2025-10-20T12:41:19Z,7166729463,1,region
