side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,5360000.0,1,1,30000142,60003760,90,2025-11-14T22:24:33Z,7186114107,1,station
buy,501000.0,18,26,30000142,60003760,90,2025-11-15T05:10:10Z,7152488457,1,40
buy,500000.0,2,2,30000142,60003760,90,2025-11-14T20:45:52Z,7186045439,1,solarsystem
buy,404000.0,4,4,30000142,60003760,90,2025-11-13T01:13:09Z,7184647852,1,station
buy,401200.0,1,10,30000142,60003760,90,2025-11-11T21:10:10Z,7064692568,1,station
sell,42290000.0,1,1,30000142,60003760,90,2025-11-16T01:46:56Z,7151155231,1,region
sell,42300000.0,1,1,30000142,60003760,90,2025-11-15T23:23:37Z,7187087416,1,region
sell,42380000.0,1,1,30000142,60003760,90,2025-11-14T00:15:52Z,7165573900,1,region
sell,42440000.0,1,1,30000142,60003760,90,2025-11-13T01:12:59Z,7159176653,1,region
sell,43550000.0,4,4,30000142,60003760,90,2025-11-04T06:53:54Z,7166624813,1,region
sell,44980000.0,1,1,30000142,60003760,90,2025-10-27T17:10:01Z,7172030521,1,region
sell,45930000.0,1,1,30000142,60003760,90,2025-10-24T06:02:46Z,7162293468,1,region
sell,65410000.0,1,1,30000142,60003760,90,2025-10-19T15:09:21Z,7166055056,1,region
sell,69860000.0,4,4,30000142,60003760,90,2025-09-30T18:54:18Z,7152307420,1,region
sell,70000000.0,2,2,30000142,60003760,90,2025-09-28T19:29:02Z,7151086593,1,region
