side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,3503000.0,1,1,30000142,60003760,3,2025-11-16T05:55:42Z,7186877745,1,station
buy,3502000.0,2,2,30000142,60003760,90,2025-11-16T04:16:43Z,7187252933,1,station
buy,3500000.0,5,5,30000142,60003760,90,2025-11-15T19:37:23Z,7186417635,1,1
buy,3255000.0,2,5,30000144,1044752365771,90,2025-11-04T08:40:43Z,7171871073,1,1
buy,2606000.0,10,10,30000144,1044752365771,90,2025-11-02T10:39:28Z,7171868657,1,2
buy,2500000.0,2,2,30000142,60003760,90,2025-11-01T22:12:14Z,7172185831,1,1
buy,1907000.0,4,4,30000142,60003760,90,2025-10-27T19:20:12Z,7170006455,1,station
buy,1513000.0,10,10,30000142,60003760,90,2025-10-27T15:06:58Z,7166741053,1,station
buy,1509000.0,1,1,30000142,60003760,90,2025-10-26T18:59:54Z,7171384069,1,station
buy,1506000.0,10,10,30000144,1042508032148,90,2025-10-26T02:05:38Z,7170777264,1,1
buy,1400000.0,25,25,30000142,60003760,90,2025-10-25T19:32:22Z,7170544801,1,station
buy,431600.0,1,1,30000142,60003760,90,2025-09-23T14:14:36Z,7078768322,1,station
buy,400000.0,40,40,30000142,60003760,90,2025-10-22T15:12:33Z,7168180970,1,solarsystem
buy,300000.0,20,20,30000142,60003760,90,2025-10-21T09:36:34Z,7167357490,1,station
sell,8390000.0,1,1,30000142,60003760,30,2025-11-15T19:34:47Z,7186903942,1,region
sell,8400000.0,7,15,30000142,60003760,90,2025-11-15T18:20:12Z,7170517678,1,region
sell,8401000.0,9,14,30000142,60003760,90,2025-11-11T15:39:21Z,7183520224,1,region
sell,8800000.0,1,1,30000142,60003760,90,2025-11-06T13:48:19Z,7179508296,1,region
sell,8801000.0,1,1,30000142,60003760,30,2025-11-05T19:40:46Z,7179010178,1,region
sell,8993000.0,1,1,30000142,60003760,30,2025-11-05T11:53:02Z,7178751334,1,region
sell,8994000.0,2,2,30000142,60003760,90,2025-11-04T18:34:12Z,7178284345,1,region
sell,9000000.0,1,1,30000142,60003760,90,2025-11-03T19:47:58Z,7177558836,1,region
sell,11300000.0,1,1,30000142,60003760,90,2025-11-02T08:47:17Z,7176297270,1,region
sell,11300000.0,4,4,30000142,60003760,90,2025-11-03T19:44:17Z,7177556273,1,region
sell,11350000.0,1,1,30000142,60003760,90,2025-10-29T09:20:23Z,7172102326,1,region
sell,11480000.0,1,1,30000142,60003760,90,2025-10-27T09:27:06Z,7171795490,1,region
sell,12110000.0,1,1,30000142,60003760,90,2025-10-22T13:06:27Z,7168113744,1,region
sell,16890000.0,1,1,30000142,60003760,90,2025-10-23T18:25:37Z,7168970839,1,region
sell,17440000.0,2,2,30000142,60003760,90,2025-09-14T14:24:53Z,7141727375,1,region
sell,17500000.0,1,1,30000184,60000868,90,2025-09-13T16:06:13Z,7133833592,1,region
sell,18750000.0,1,1,30000142,60003760,90,2025-09-08T09:05:15Z,7137619648,1,region
sell,20000000.0,1,2,30000142,60003760,90,2025-09-03T11:55:18Z,7129592470,1,region
sell,20980000.0,1,1,30000142,60003760,90,2025-08-28T09:55:28Z,7130301941,1,region
sell,39900000.0,1,1,30000142,60003760,90,2025-08-28T22:57:45Z,7126867107,1,region
sell,40050000.0,1,1,30000142,60003760,90,2025-08-26T00:14:02Z,7128891817,1,region
sell,46790000.0,1,1,30000142,60003760,90,2025-08-25T14:32:27Z,7128574729,1,region
sell,47380000.0,1,1,30000142,60003760,90,2025-08-24T15:49:54Z,7127916245,1,region
sell,69990000.0,4,4,30000142,60003760,90,2025-09-05T18:35:24Z,7135818041,1,region
