side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,651600.0,27,50,30000142,60003760,90,2025-11-15T22:15:58Z,7186694216,1,station
buy,651500.0,121,150,30000142,60003760,90,2025-11-15T20:33:41Z,7185384739,1,station
buy,651300.0,10,10,30000142,60003760,7,2025-11-15T19:18:09Z,7186888386,1,station
buy,650600.0,477,650,30000142,60003760,30,2025-11-14T00:22:41Z,7158709544,1,station
buy,649800.0,9,10,30000142,60003760,90,2025-10-30T09:40:15Z,7173984618,1,station
buy,648000.0,3,6,30000142,60003760,90,2025-10-27T21:33:26Z,7168525756,1,station
buy,630200.0,100,100,30000142,60003760,90,2025-10-23T09:23:06Z,7168676020,1,station
buy,609800.0,20,20,30000142,60003760,90,2025-10-16T20:29:01Z,7163973087,1,station
buy,609000.0,10,10,30000142,60003760,90,2025-10-16T07:52:07Z,7163569122,1,station
buy,608800.0,27,50,30000142,60003760,90,2025-10-15T10:17:51Z,7162929641,1,1
buy,212100.0,50,50,30000144,1044752365771,90,2025-10-09T15:02:58Z,7157824545,1,1
buy,100000.0,50,50,30000142,60003760,90,2025-10-13T01:08:35Z,7161300479,1,region
buy,1026.0,1385,1388,30000142,60003760,90,2025-10-04T10:05:34Z,7095489685,1,station
buy,1.02,98,100,30000144,1044752365771,90,2025-10-18T19:57:51Z,7041023069,1,20
buy,0.01,10000000,10000000,30000142,60003760,90,2025-10-28T05:06:16Z,7172407510,1,40
sell,764600.0,74,137,30000142,60003760,90,2025-11-16T06:35:40Z,7181638632,1,region
sell,764700.0,155,200,30000142,60003760,90,2025-11-16T05:03:50Z,7185811447,1,region
sell,764800.0,173,186,30000142,60003760,30,2025-11-16T03:30:17Z,7183085150,1,region
sell,764900.0,51,200,30000142,60003760,30,2025-11-15T23:04:00Z,7186017929,1,region
sell,765100.0,1,29,30000142,60003760,90,2025-11-15T22:05:40Z,7186985874,1,region
sell,765200.0,48,54,30000142,60003760,90,2025-11-15T21:46:06Z,7187015402,1,region
sell,765400.0,33,50,30000142,60003760,30,2025-11-15T19:09:04Z,7186474394,1,region
sell,765600.0,249,360,30000142,60003760,90,2025-11-15T16:43:20Z,7186762135,1,region
sell,768000.0,115,120,30000142,60003760,30,2025-11-14T17:08:06Z,7185879980,1,region
sell,769800.0,4,11,30000142,60003760,90,2025-11-14T15:21:21Z,7171179104,1,region
sell,770000.0,18,20,30000142,60003760,90,2025-11-13T21:09:36Z,7185277963,1,region
sell,773500.0,92,100,30000142,60003760,90,2025-11-12T14:17:38Z,7167997380,1,region
sell,773500.0,100,100,30000142,60003760,90,2025-11-12T14:17:56Z,7169647471,1,region
sell,773800.0,20,29,30000142,60003760,90,2025-11-12T07:00:19Z,7184036876,1,region
sell,775600.0,13,13,30000142,60003760,14,2025-11-11T12:23:09Z,7183400893,1,region
sell,775600.0,4,4,30000142,60003760,14,2025-11-11T13:22:15Z,7183433861,1,region
sell,776000.0,3,6,30000142,60003760,90,2025-11-11T08:12:54Z,7183297994,1,region
sell,777800.0,9,10,30000142,60003760,90,2025-11-10T16:31:54Z,7182782702,1,region
sell,778100.0,1,1,30000142,60003760,90,2025-11-10T16:18:21Z,7182772368,1,region
sell,778200.0,5,29,30000142,60003760,90,2025-11-10T16:11:20Z,7182625885,1,region
sell,779000.0,162,210,30000142,60003760,90,2025-11-09T22:19:10Z,7162214137,1,region
sell,779300.0,43,43,30000142,60003760,90,2025-11-09T21:14:38Z,7182227535,1,region
sell,780000.0,14,14,30000142,60003760,90,2025-11-09T18:10:13Z,7182086093,1,region
sell,782500.0,17,48,30000142,60003760,90,2025-11-09T13:10:10Z,7181850087,1,region
sell,783600.0,31,50,30000142,60003760,90,2025-11-08T15:43:58Z,7171161019,1,region
sell,784000.0,402,532,30000142,60003760,14,2025-11-06T20:44:47Z,7173330331,1,region
sell,784400.0,274,290,30000142,60003760,90,2025-11-06T17:57:44Z,7152627577,1,region
sell,786000.0,7,9,30000142,60003760,90,2025-11-05T16:04:59Z,7178877611,1,region
sell,786300.0,4,80,30000142,60003760,90,2025-11-05T12:13:24Z,7175488966,1,region
sell,786700.0,1,3,30000142,60003760,90,2025-11-05T11:14:16Z,7174755093,1,region
sell,787600.0,38,40,30000142,60003760,90,2025-11-04T16:15:14Z,7178186324,1,region
sell,791500.0,175,290,30000142,60003760,90,2025-11-02T19:06:04Z,7169575718,1,region
sell,792800.0,18,18,30000142,60003760,14,2025-11-05T20:27:45Z,7179046342,1,region
sell,802000.0,2,9,30000142,60003760,90,2025-10-31T20:57:54Z,7174510158,1,region
sell,803300.0,20,20,30000142,60003760,90,2025-10-31T15:15:56Z,7173112097,1,region
sell,804800.0,2,2,30000142,60003760,90,2025-10-31T06:23:13Z,7174640756,1,region
sell,806300.0,3,3,30000142,60003760,90,2025-10-30T20:12:23Z,7174360402,1,region
sell,808200.0,54,90,30000142,60003760,90,2025-10-30T01:37:33Z,7167222415,1,region
sell,809900.0,2,2,30000142,60003760,14,2025-11-03T09:37:08Z,7177188018,1,region
sell,837500.0,70,70,30000142,60003760,90,2025-10-28T19:23:52Z,7172845499,1,region
sell,838000.0,1,1,30000142,60003760,90,2025-10-28T13:12:28Z,7172600450,1,region
sell,843100.0,19,20,30000142,60003760,90,2025-10-27T16:07:01Z,7171993021,1,region
sell,844100.0,49,50,30000142,60003760,90,2025-10-27T12:38:58Z,7171877315,1,region
sell,845000.0,20,20,30000142,60003760,90,2025-10-27T04:12:05Z,7171690167,1,region
sell,846200.0,20,100,30000142,60003760,90,2025-10-26T20:29:42Z,7162413096,1,region
sell,850400.0,19,20,30000142,60003760,90,2025-10-26T08:05:23Z,7170927393,1,region
sell,851200.0,15,20,30000142,60003760,90,2025-10-26T05:16:02Z,7170194569,1,region
sell,852100.0,68,68,30000142,60003760,90,2025-10-25T19:12:31Z,7155160018,1,region
sell,852100.0,32,60,30000142,60003760,90,2025-10-25T19:12:27Z,7141845437,1,region
sell,853400.0,18,20,30000142,60003760,90,2025-10-25T14:13:15Z,7170297288,1,region
sell,858900.0,3,3,30000142,60003760,90,2025-10-23T20:59:49Z,7169074126,1,region
sell,869000.0,3,5,30000142,60003760,90,2025-10-21T20:57:34Z,7167733650,1,region
sell,872200.0,1,1,30000142,60003760,90,2025-10-21T11:38:46Z,7167407827,1,region
