side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,160700000.0,1,1,30000142,60003760,90,2025-11-09T09:20:41Z,7180863530,1,station
buy,160600000.0,1,2,30000142,60003760,90,2025-11-09T04:29:46Z,7118245333,1,station
buy,160200000.0,1,1,30000142,60003760,90,2025-10-19T08:03:31Z,7100438558,1,region
sell,229000000.0,1,1,30000142,60003760,90,2025-11-10T19:13:58Z,7182896751,1,region
sell,250000000.0,1,1,30000142,60003760,90,2025-11-05T18:26:54Z,7178962883,1,region
sell,279800000.0,1,1,30000142,60003760,90,2025-11-03T09:48:40Z,7081502164,1,region
sell,280000000.0,1,1,30000142,60003760,90,2025-10-30T18:56:52Z,7174307974,1,region
sell,288900000.0,1,1,30000142,60003760,90,2025-10-14T07:41:36Z,7162178884,1,region
sell,289000000.0,1,1,30000142,60003760,90,2025-09-26T11:47:40Z,7149296116,1,region
sell,299900000.0,1,1,30000142,60003760,90,2025-09-14T10:03:10Z,7094644111,1,region
