side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,20610000.0,1,1,30000142,60003760,14,2025-11-15T12:04:32Z,7185012274,1,station
buy,2001000.0,24,25,30000142,60003760,90,2025-11-15T14:10:13Z,7180473860,1,station
buy,1602000.0,6,6,30000142,60003760,90,2025-11-12T09:53:37Z,7180959934,1,1
buy,1501000.0,2,2,30000142,60003760,90,2025-11-12T00:17:43Z,7183870050,1,1
buy,501000.0,1,1,30000142,60003760,90,2025-11-09T04:09:17Z,7181559965,1,1
buy,301000.0,3,3,30000142,60003760,90,2025-11-08T20:42:22Z,7181311340,1,station
buy,10.0,11,11,30000142,60003466,90,2025-11-07T12:17:55Z,7180177884,1,1
sell,40000000.0,5,5,30000142,60003760,90,2025-10-30T16:07:34Z,7174195261,1,region
sell,47610000.0,1,1,30000142,60003760,90,2025-10-22T17:58:02Z,7168282160,1,region
sell,48000000.0,1,1,30000142,60003760,90,2025-10-18T10:25:30Z,7165021693,1,region
sell,48930000.0,1,1,30000142,60003760,90,2025-10-16T16:15:52Z,7163811392,1,region
sell,48980000.0,2,3,30000142,60003760,90,2025-10-15T18:20:08Z,7107025516,1,region
sell,48990000.0,1,1,30000142,60003760,90,2025-10-15T07:55:31Z,7162877353,1,region
sell,54000000.0,1,1,30000142,60003760,90,2025-09-27T13:07:11Z,7150028667,1,region
sell,62570000.0,2,2,30000142,60003760,90,2025-10-18T01:06:18Z,7029646978,1,region
sell,62580000.0,1,1,30000142,60003760,90,2025-09-18T20:18:33Z,7144347388,1,region
sell,62620000.0,1,2,30000142,60003760,90,2025-09-05T14:45:00Z,7135697596,1,region
