side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,6000.0,93,100,30000142,60003760,90,2025-09-03T00:35:40Z,7134198708,1,station
sell,60000.0,1,1,30000119,60005593,365,2025-09-20T11:03:26Z,911308711,1,region
sell,60000.0,1,1,30000119,60005596,365,2025-09-29T11:04:20Z,911308712,1,region
sell,60000.0,1,1,30000119,60005599,365,2025-11-14T11:03:45Z,911308713,1,region
sell,60000.0,1,1,30000119,60005608,365,2025-11-02T16:24:05Z,911308716,1,region
sell,60000.0,1,1,30000120,60005602,365,2025-10-12T11:10:57Z,911308714,1,region
sell,60000.0,1,1,30000121,60005605,365,2025-11-14T11:03:45Z,911308715,1,region
sell,60000.0,1,1,30000128,60005452,365,2025-11-04T11:04:28Z,911308664,1,region
sell,60000.0,1,1,30000128,60005455,365,2025-08-24T11:02:58Z,911308665,1,region
sell,60000.0,1,1,30000128,60005458,365,2025-10-06T11:12:34Z,911308666,1,region
sell,60000.0,1,1,30000129,60005464,365,2025-10-30T19:06:20Z,911308668,1,region
sell,60000.0,1,1,30000130,60005461,365,2025-11-11T11:26:33Z,911308667,1,region
sell,60000.0,1,1,30000130,60005449,365,2025-09-22T11:12:44Z,911308663,1,region
sell,60000.0,1,1,30000140,60003763,365,2025-10-24T22:01:26Z,911251223,1,region
sell,60000.0,1,1,30000142,60003757,365,2025-11-11T03:18:01Z,911251221,1,region
sell,60000.0,1,1,30000143,60003766,365,2025-10-18T19:17:39Z,911251224,1,region
sell,60000.0,1,1,30000143,60003769,365,2025-10-09T15:05:57Z,911251225,1,region
sell,60000.0,1,1,30000144,60003754,365,2025-08-22T16:20:20Z,911251220,1,region
sell,60000.0,5,5,30000146,60002734,365,2025-10-03T11:03:27Z,6964001063,1,region
sell,60000.0,1,1,30000147,60001645,365,2025-11-05T05:47:06Z,911223917,1,region
sell,60000.0,5,5,30000147,60002746,365,2025-10-28T11:04:12Z,6964001115,1,region
sell,60000.0,5,5,30000148,60002749,365,2025-10-13T11:10:37Z,6964001128,1,region
sell,60000.0,5,5,30000148,60002743,365,2025-08-28T11:32:29Z,6964001102,1,region
sell,60000.0,5,5,30000148,60002737,365,2025-10-03T11:03:27Z,6964001076,1,region
sell,60000.0,1,1,30000148,60001648,365,2025-11-01T05:25:13Z,911223918,1,region
sell,60000.0,1,1,30000148,60001651,365,2025-10-07T00:16:39Z,911223919,1,region
sell,60000.0,1,1,30000148,60001654,365,2025-10-12T11:10:57Z,911223920,1,region
sell,60000.0,5,5,30000149,60002740,365,2025-08-23T21:53:32Z,6964001089,1,region
sell,60000.0,1,1,30000153,60002437,365,2025-10-01T11:14:04Z,911238848,1,region
sell,60000.0,1,1,30000153,60002440,365,2025-10-28T02:23:14Z,911238849,1,region
sell,60000.0,5,5,30000153,60002806,365,2025-09-20T18:24:18Z,6964001141,1,region
sell,60000.0,5,5,30000153,60002809,365,2025-10-03T17:04:27Z,6964001154,1,region
sell,60000.0,5,5,30000153,60002818,365,2025-10-13T11:10:37Z,6964001193,1,region
sell,60000.0,5,5,30000154,60002812,365,2025-10-13T11:10:37Z,6964001167,1,region
sell,60000.0,1,1,30000154,60002428,365,2025-08-29T11:03:15Z,911238845,1,region
sell,60000.0,1,1,30000156,60002431,365,2025-09-27T11:03:26Z,911238846,1,region
sell,60000.0,5,5,30000156,60002821,365,2025-08-31T14:24:13Z,6964001206,1,region
sell,60000.0,5,5,30000158,60002815,365,2025-10-13T11:10:37Z,6964001180,1,region
sell,60000.0,1,1,30000158,60002443,365,2025-09-13T07:45:30Z,911238850,1,region
sell,60000.0,5,5,30000175,60002854,365,2025-10-09T00:10:09Z,6964001271,1,region
sell,60000.0,5,5,30000175,60002857,365,2025-10-13T11:10:37Z,6964001284,1,region
sell,60000.0,5,5,30000176,60002845,365,2025-11-02T11:03:46Z,6964001232,1,region
sell,60000.0,5,5,30000177,60002848,365,2025-10-13T11:10:37Z,6964001245,1,region
sell,60000.0,5,5,30000177,60002842,365,2025-10-13T11:10:37Z,6964001219,1,region
sell,60000.0,5,5,30000179,60002851,365,2025-11-11T11:26:33Z,6964001258,1,region
sell,60000.0,1,1,30000142,60003760,365,2025-11-16T00:54:11Z,911251222,1,region
sell,2500000.0,5,5,30000142,60003760,90,2025-11-10T19:51:35Z,7182923503,1,region
