side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1132.0,106635,150900,30000144,1044752365771,90,2025-11-11T18:39:11Z,7183648183,1,1
buy,1130.0,3191580,3442260,30000144,1044752365771,90,2025-09-09T16:45:14Z,7138426367,1,1
buy,1127.0,20000,20000,30000144,1042508032148,90,2025-09-02T05:05:43Z,7133671435,1,1
buy,1112.0,8003,10000,30000144,1042508032148,90,2025-08-29T08:12:28Z,7126426422,1000,1
buy,1111.0,10000,10000,30000144,1042508032148,90,2025-08-29T08:12:14Z,7126426047,1000,1
buy,800.0,584986,1000000,30000144,1044752365771,90,2025-11-15T04:32:59Z,7171721260,1,1
buy,636.0,500000,500000,30000142,60003760,90,2025-09-29T11:49:12Z,7151478656,1,station
buy,0.01,100000,100000,30000156,60002821,90,2025-11-01T04:29:09Z,7175323945,1,region
sell,1500.0,3094,3094,30000197,60001624,90,2025-11-09T10:45:48Z,7181750137,1,region
sell,1990.0,126180,126180,30000142,60003760,90,2025-11-15T17:30:17Z,7186801819,1,region
sell,2000.0,41547,41547,30000142,60003760,90,2025-11-14T14:28:50Z,7185771617,1,region
sell,2026.0,3635,3635,30000142,60003760,90,2025-11-14T13:30:20Z,7185731508,1,region
sell,2027.0,2007,2044,30000142,60003760,90,2025-09-09T19:09:30Z,7137755769,1,region
sell,2035.0,1905,1905,30000142,60003760,90,2025-09-09T18:40:28Z,7138496091,1,region
sell,2098.0,138189,138189,30000142,60003760,90,2025-09-08T06:20:14Z,7137568906,1,region
