side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,133900.0,189,1000,30000142,60003760,90,2025-11-12T01:06:51Z,7006604073,1,4
buy,133800.0,47,50,30000142,60003760,90,2025-11-09T01:41:16Z,7181491904,1,1
buy,131300.0,5,10,30000142,60003760,90,2025-10-12T07:23:14Z,7144197382,1,station
buy,130900.0,50,70,30000142,60003760,90,2025-09-08T15:01:33Z,7120036494,1,station
sell,899000.0,1,1,30000142,60003760,7,2025-11-13T21:37:38Z,7185297122,1,region
sell,900000.0,4,6,30000142,60003760,90,2025-11-02T04:40:37Z,7118676226,1,region
sell,950000.0,1,1,30000142,60003760,90,2025-10-29T10:55:42Z,7173271678,1,region
sell,1486000.0,1,1,30000142,60003760,30,2025-10-19T08:18:10Z,7145305737,1,region
sell,1491000.0,1,1,30000142,60003760,90,2025-10-17T14:04:34Z,7164404763,1,region
sell,1994000.0,5,5,30000142,60003760,90,2025-10-15T13:32:08Z,7163027194,1,region
sell,3090000.0,5,5,30000142,60003760,90,2025-10-13T15:15:19Z,7161677533,1,region
sell,3094000.0,18,18,30000142,60003760,90,2025-10-08T16:08:50Z,7157785690,1,region
sell,3120000.0,1,1,30000142,60003760,90,2025-09-30T22:28:15Z,7152424032,1,region
sell,3789000.0,1,1,30000142,60003760,90,2025-09-27T14:01:42Z,7150062618,1,region
