side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,352600.0,18,100,30000142,60003760,90,2025-10-29T09:14:54Z,7129699079,1,4
buy,352500.0,10,10,30000142,60003760,90,2025-10-29T08:22:29Z,7167275945,1,3
buy,352100.0,13,15,30000142,60003760,90,2025-09-22T21:44:21Z,7143105990,1,station
buy,225100.0,48,59,30000142,60003760,90,2025-09-08T15:01:48Z,7122676051,1,station
sell,4099000.0,6,6,30000142,60003760,90,2025-11-13T21:38:44Z,7123158952,1,region
sell,4100000.0,5,5,30000142,60003760,90,2025-11-12T15:51:22Z,7184300386,1,region
sell,4196000.0,7,15,30000142,60003760,90,2025-11-12T14:43:32Z,7155264939,1,region
sell,4199000.0,1,1,30000142,60003760,90,2025-11-11T18:32:35Z,7164288018,1,region
sell,4200000.0,5,5,30000142,60003760,90,2025-11-11T15:32:50Z,7183515538,1,region
sell,4466000.0,5,5,30000142,60003760,90,2025-11-08T23:04:15Z,7181410170,1,region
sell,4470000.0,6,6,30000142,60003760,90,2025-11-08T09:49:20Z,7180849311,1,region
sell,4485000.0,2,2,30000142,60003760,90,2025-10-31T21:35:51Z,7175145770,1,region
sell,4494000.0,1,1,30000142,60003760,90,2025-10-26T13:18:21Z,7111821762,1,region
sell,4500000.0,1,1,30000142,60003760,90,2025-10-24T16:49:08Z,7105604469,1,region
sell,4571000.0,11,11,30000142,60003760,90,2025-10-22T17:25:19Z,7168261024,1,region
sell,4608000.0,1,1,30000142,60003760,90,2025-10-18T16:44:46Z,7157103202,1,region
sell,5290000.0,7,7,30000142,60003760,90,2025-09-24T00:16:39Z,7121497050,1,region
sell,5990000.0,4,4,30000142,60003760,90,2025-09-22T21:44:16Z,7143106249,1,region
sell,6698000.0,1,1,30000142,60003760,90,2025-09-15T12:09:04Z,7142339873,1,region
sell,6780000.0,1,1,30000142,60003760,90,2025-09-02T14:34:54Z,7133890932,1,region
sell,6800000.0,1,1,30000142,60003760,90,2025-08-26T09:00:48Z,7129077229,1,region
