side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,17300000.0,1,1,30000142,60003760,90,2025-11-16T04:02:58Z,7187246281,1,40
buy,17250000.0,1,1,30000142,60003760,90,2025-09-13T09:37:41Z,7140787238,1,station
buy,0.01,1000,1000,30000142,60003760,90,2025-11-11T16:38:19Z,7183558303,1,40
sell,1725000000.0,2,2,30000133,60000400,365,2025-09-06T11:03:13Z,6806117958,1,region
sell,1725000000.0,2,2,30000136,60000397,365,2025-09-06T11:03:13Z,6806117957,1,region
sell,1725000000.0,2,2,30000138,60000394,365,2025-10-03T11:03:27Z,6806117956,1,region
sell,1725000000.0,2,2,30000138,60000403,365,2025-09-06T11:03:13Z,6806117959,1,region
sell,1725000000.0,2,2,30000139,60000367,365,2025-09-06T11:03:13Z,6806117942,1,region
sell,1725000000.0,2,2,30000142,60000361,365,2025-08-29T11:03:15Z,6806117940,1,region
sell,1725000000.0,2,2,30000142,60000364,365,2025-09-09T11:06:29Z,6806117941,1,region
sell,1725000000.0,1,1,30000143,60006883,365,2025-09-06T11:03:13Z,6806117945,1,region
sell,1725000000.0,1,1,30000143,60006886,365,2025-09-06T11:03:13Z,6806117946,1,region
sell,1725000000.0,2,2,30000144,60000358,365,2025-09-06T11:03:13Z,6806117939,1,region
sell,1725000000.0,1,1,30000144,60006880,365,2025-09-06T11:03:13Z,6806117955,1,region
sell,1725000000.0,1,1,30000159,60006856,365,2025-09-06T11:03:13Z,6806117953,1,region
sell,1725000000.0,1,1,30000162,60006853,365,2025-09-08T11:11:58Z,6806117952,1,region
sell,1725000000.0,1,1,30000163,60006859,365,2025-09-08T11:11:58Z,6806117954,1,region
sell,1725000000.0,4,4,30000165,60002422,365,2025-09-12T11:03:54Z,6806117950,1,region
sell,1725000000.0,4,4,30000165,60002425,365,2025-09-06T11:03:13Z,6806117951,1,region
sell,1725000000.0,1,1,30000189,60010822,365,2025-09-06T11:03:13Z,6806117949,1,region
sell,1725000000.0,1,1,30000190,60010819,365,2025-09-06T11:03:13Z,6806117948,1,region
sell,1725000000.0,1,1,30000193,60010816,365,2025-09-06T11:03:13Z,6806117947,1,region
sell,1725000000.0,2,2,30000193,60000385,365,2025-09-06T11:03:13Z,6806117943,1,region
sell,1725000000.0,2,2,30000193,60000388,365,2025-09-06T11:03:13Z,6806117944,1,region
sell,1725000000.0,4,4,30000202,60002377,365,2025-09-16T11:19:12Z,6806117961,1,region
sell,1725000000.0,4,4,30000203,60002374,365,2025-09-06T11:03:13Z,6806117960,1,region
