side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,25050.0,10,16,30000142,60003760,3,2025-11-15T16:09:31Z,7186732614,1,station
buy,25030.0,78,100,30000144,1044752365771,90,2025-11-11T14:58:02Z,7173515123,1,1
buy,25000.0,93,200,30000142,60003760,90,2025-11-03T00:20:48Z,7148705010,1,4
buy,20390.0,15,30,30000142,60003760,90,2025-11-02T23:25:13Z,7157887482,1,station
sell,367300.0,4,10,30000142,60003760,90,2025-11-15T17:39:32Z,7184079944,1,region
sell,367400.0,2,2,30000142,60003760,90,2025-11-15T16:54:43Z,7186772352,1,region
sell,368600.0,10,10,30000142,60003760,90,2025-11-14T15:24:22Z,7185808769,1,region
sell,368700.0,4,5,30000142,60003760,90,2025-11-14T15:13:47Z,7103646801,1,region
sell,368800.0,1,1,30000142,60003760,30,2025-11-14T14:11:13Z,7180453592,1,region
sell,369500.0,5,5,30000142,60003760,90,2025-11-07T02:09:36Z,7179942834,1,region
sell,370000.0,3,4,30000142,60003760,90,2025-11-03T12:29:26Z,7177275453,1,region
sell,377700.0,4,5,30000142,60003760,90,2025-10-27T12:58:01Z,7171886942,1,region
sell,379000.0,2,2,30000142,60003760,90,2025-10-25T07:49:54Z,7170066657,1,region
sell,400000.0,1,1,30000142,60003760,90,2025-10-20T16:03:01Z,7166852887,1,region
sell,499800.0,3,3,30000142,60003760,90,2025-10-19T22:37:26Z,7166391369,1,region
sell,565300.0,3,3,30000142,60003760,90,2025-10-19T16:25:53Z,7166118981,1,region
sell,569000.0,3,3,30000142,60003760,90,2025-10-05T08:53:47Z,7155267429,1,region
sell,584000.0,9,9,30000142,60003760,90,2025-09-21T17:49:17Z,7146364010,1,region
sell,589000.0,5,5,30000142,60003760,90,2025-09-17T20:45:17Z,7143773212,1,region
sell,589800.0,2,3,30000142,60003760,90,2025-09-13T13:37:12Z,7135848309,1,region
sell,1000000.0,1,1,30000142,60003760,90,2025-10-02T13:14:40Z,7153328720,1,region
