side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,44050000.0,1,1,30000144,1044752365771,14,2025-11-16T00:47:27Z,7186867287,1,1
buy,42010000.0,3,3,30000144,1042508032148,90,2025-10-29T00:11:44Z,7165150842,1,1
buy,37040000.0,1,1,30000142,60003760,90,2025-11-14T13:47:59Z,7185743428,1,station
buy,37030000.0,3,3,30000142,60003760,90,2025-10-13T14:01:09Z,7161628829,1,station
buy,37010000.0,1,1,30000142,60003760,90,2025-09-20T07:59:28Z,7145013927,1,station
buy,36030000.0,1,1,30000144,1044752365771,90,2025-09-18T13:48:48Z,7143130130,1,1
buy,35600000.0,1,1,30000142,60003760,90,2025-08-19T14:43:41Z,7124537587,1,2
buy,12880000.0,3,3,30000142,60003760,90,2025-10-27T05:33:23Z,7171717772,1,region
sell,152600000.0,1,1,30000142,60003760,90,2025-11-16T00:05:35Z,7186776794,1,region
sell,152700000.0,1,1,30000142,60003760,90,2025-11-15T18:50:35Z,7185743990,1,region
sell,152800000.0,1,1,30000142,60003760,90,2025-11-15T18:39:18Z,7186857052,1,region
sell,153400000.0,1,2,30000142,60003760,90,2025-11-15T16:15:42Z,7181392480,1,region
sell,153600000.0,1,1,30000142,60003760,90,2025-11-14T18:46:18Z,7184089184,1,region
sell,153800000.0,1,1,30000142,60003760,90,2025-11-14T16:56:55Z,7185871167,1,region
sell,154100000.0,1,2,30000142,60003760,90,2025-11-14T16:00:17Z,7180320582,1,region
sell,154600000.0,1,1,30000142,60003760,90,2025-11-11T22:57:03Z,7179605609,1,region
sell,154800000.0,1,1,30000142,60003760,90,2025-11-11T20:16:30Z,7183724395,1,region
sell,155000000.0,1,1,30000142,60003760,90,2025-11-11T05:59:56Z,7183242308,1,region
sell,159300000.0,1,1,30000142,60003760,90,2025-11-10T22:50:09Z,7180859330,1,region
sell,160400000.0,1,1,30000142,60003760,90,2025-11-10T17:35:50Z,7182825449,1,region
sell,160500000.0,1,1,30000142,60003760,90,2025-11-10T16:38:21Z,7182787931,1,region
sell,164200000.0,1,1,30000142,60003760,90,2025-10-25T06:28:37Z,7166721272,1,region
sell,165000000.0,1,1,30000142,60003760,90,2025-10-23T12:52:31Z,7168772698,1,region
sell,169000000.0,1,1,30000142,60003760,90,2025-10-21T03:45:37Z,7167231964,1,region
sell,170000000.0,1,1,30000142,60003760,90,2025-11-08T17:45:10Z,7181181608,1,region
sell,175000000.0,1,1,30000142,60003760,90,2025-09-27T20:20:02Z,7150334018,1,region
sell,179800000.0,1,1,30000142,60003760,90,2025-09-27T15:35:10Z,7147308038,1,region
sell,190000000.0,1,1,30000142,60003760,90,2025-09-24T07:48:22Z,7147991717,1,region
sell,199000000.0,1,1,30000142,60003760,90,2025-09-23T19:02:25Z,7147701266,1,region
sell,228400000.0,2,2,30000142,60003760,90,2025-09-23T18:50:01Z,7147693978,1,region
sell,232400000.0,1,1,30000142,60003760,90,2025-09-21T20:05:33Z,7146461019,1,region
sell,233000000.0,1,1,30000142,60003760,90,2025-09-21T18:19:43Z,7144430278,1,region
sell,299900000.0,1,1,30000142,60003760,90,2025-09-18T18:04:51Z,7144265741,1,region
