side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,510700.0,19,57,30000142,60003760,90,2025-11-02T18:19:20Z,7171369704,1,region
buy,510000.0,2,5,30000142,60003760,90,2025-10-28T01:09:48Z,7142141287,1,station
buy,500000.0,2,100,30000142,60003760,90,2025-09-29T16:52:58Z,7140276319,1,station
buy,228900.0,14,30,30000142,60003760,90,2025-09-07T17:22:54Z,7109551110,1,station
buy,224300.0,10,10,30000144,1044752365771,90,2025-09-05T19:21:39Z,7134639453,1,1
buy,216800.0,76,100,30000144,1044752365771,90,2025-08-23T11:15:29Z,7071932149,1,5
buy,209100.0,12,13,30000144,1044752365771,90,2025-10-25T21:22:12Z,7114682063,1,4
sell,2900000.0,7,7,30000142,60003760,30,2025-11-16T06:47:32Z,7186515400,1,region
sell,2980000.0,2,2,30000142,60003760,90,2025-11-16T02:38:59Z,7150133498,1,region
sell,2981000.0,20,20,30000142,60003760,90,2025-11-15T21:54:08Z,7176860683,1,region
sell,2982000.0,13,21,30000142,60003760,90,2025-11-15T21:47:57Z,7176853121,1,region
sell,3148000.0,1,1,30000142,60003760,90,2025-11-15T15:10:20Z,7186098801,1,region
sell,3159000.0,3,3,30000142,60003760,90,2025-11-15T14:24:17Z,7153532186,1,region
sell,3383000.0,5,5,30000142,60003760,90,2025-11-14T20:31:37Z,7180520364,1,region
sell,3398000.0,1,1,30000142,60003760,90,2025-11-14T13:59:20Z,7163100039,1,region
sell,3500000.0,6,6,30000142,60003760,90,2025-11-13T10:44:29Z,7182221381,1,region
sell,3958000.0,10,10,30000142,60003760,90,2025-11-12T01:34:41Z,7159462631,1,region
sell,4406000.0,3,3,30000142,60003760,90,2025-11-09T20:54:45Z,7167751875,1,region
sell,4511000.0,1,1,30000142,60003760,30,2025-11-08T13:58:11Z,7181003488,1,region
sell,5115000.0,1,1,30000142,60003760,90,2025-11-01T21:51:23Z,7175992013,1,region
sell,6301000.0,1,1,30000142,60003760,90,2025-10-22T13:05:40Z,7168113302,1,region
sell,10000000.0,100,100,30000142,60003760,90,2025-10-02T12:11:23Z,7153300887,1,region
sell,12770000.0,9,9,30000142,60003760,90,2025-09-29T13:13:32Z,7151514831,1,region
sell,14690000.0,1,1,30000142,60003760,90,2025-09-26T20:12:35Z,7148131975,1,region
sell,14790000.0,2,2,30000142,60003760,90,2025-09-26T13:33:23Z,7149346337,1,region
sell,14810000.0,3,3,30000142,60003760,90,2025-09-26T02:08:03Z,7149095706,1,region
sell,14900000.0,1,1,30000142,60003760,90,2025-09-25T13:48:13Z,7148745100,1,region
sell,15100000.0,2,2,30000142,60003760,90,2025-09-24T22:04:13Z,7148405965,1,region
sell,15200000.0,1,1,30000142,60003760,90,2025-09-24T22:04:30Z,7148406143,1,region
sell,15300000.0,1,1,30000142,60003760,90,2025-09-24T22:04:45Z,7148406231,1,region
sell,15500000.0,3,3,30000142,60003760,90,2025-09-24T22:05:00Z,7148406314,1,region
sell,15600000.0,1,1,30000142,60003760,90,2025-09-24T22:05:22Z,7148406492,1,region
sell,16000000.0,2,2,30000142,60003760,90,2025-09-24T22:05:42Z,7148406592,1,region
sell,16100000.0,3,3,30000142,60003760,90,2025-09-25T19:44:34Z,7148940512,1,region
