side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,523500000.0,1,1,30000144,1044752365771,90,2025-09-28T12:19:49Z,7150778717,1,1
buy,523300000.0,1,1,30000144,1044752365771,90,2025-09-19T22:51:38Z,7132714583,1,1
buy,8267000.0,3,3,30000142,60003760,90,2025-11-14T19:10:27Z,7166022467,1,40
buy,8222000.0,3,3,30000142,60003760,90,2025-11-14T07:45:55Z,7171752310,1,40
sell,798900000.0,2,2,30000142,60003760,90,2025-11-15T23:25:37Z,7183058344,1,region
sell,799000000.0,1,1,30000142,60003760,90,2025-11-13T12:49:10Z,7184950470,1,region
sell,850100000.0,1,1,30000142,60003760,90,2025-11-08T08:50:10Z,7180818919,1,region
sell,859900000.0,2,2,30000142,60003760,90,2025-11-01T14:11:51Z,7175624385,1,region
sell,860000000.0,1,1,30000142,60003760,90,2025-09-23T05:31:25Z,7147335538,1,region
sell,910900000.0,1,1,30000142,60003760,90,2025-11-03T22:23:47Z,7177659983,1,region
sell,911000000.0,1,1,30000142,60003760,90,2025-10-30T22:41:15Z,7049007498,1,region
sell,912000000.0,1,1,30000142,60003760,90,2025-09-16T15:02:05Z,7143025486,1,region
sell,912900000.0,1,1,30000142,60003760,90,2025-09-16T05:22:41Z,7142811625,1,region
sell,999900000.0,1,1,30000142,60003760,90,2025-10-13T06:40:01Z,7058749328,1,region
