side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,2500.0,284,431,30000142,60003760,90,2025-11-11T08:51:32Z,7183314252,1,3
buy,1000.0,186,200,30000142,60003760,90,2025-11-11T01:55:15Z,7183135389,1,station
buy,0.01,10000000,10000000,30000142,60003760,90,2025-11-11T17:52:36Z,7183611285,1,40
sell,107400.0,1,3,30000142,60003760,90,2025-11-15T07:48:50Z,7139208573,1,region
sell,107500.0,3,3,30000142,60003760,30,2025-11-15T02:57:27Z,7186259896,1,region
sell,107800.0,15,15,30000142,60003760,90,2025-11-14T15:37:10Z,7178293489,1,region
sell,107900.0,8,8,30000142,60003760,90,2025-11-14T15:12:52Z,7185801843,1,region
sell,108000.0,1,1,30000142,60003760,30,2025-11-11T06:01:23Z,7183242915,1,region
sell,108000.0,1,1,30000142,60003760,90,2025-11-14T08:09:30Z,7185578854,1,region
sell,210000.0,8,9,30000142,60003760,90,2025-11-13T23:15:40Z,7154977632,1,region
sell,211100.0,6,6,30000142,60003760,90,2025-11-12T09:03:41Z,7184088901,1,region
sell,225000.0,6,6,30000142,60003760,90,2025-11-07T17:05:22Z,7180339409,1,region
sell,228900.0,5,5,30000142,60003760,90,2025-11-07T02:05:44Z,7179941080,1,region
sell,230000.0,3,3,30000142,60003760,30,2025-11-04T18:07:56Z,7178264235,1,region
sell,245000.0,3,3,30000142,60003760,90,2025-11-02T19:12:16Z,7176759799,1,region
sell,250000.0,3,3,30000142,60003760,90,2025-11-01T23:15:57Z,7176044024,1,region
sell,270100.0,4,4,30000142,60003760,90,2025-11-01T15:17:41Z,7175683404,1,region
sell,280000.0,2,2,30000142,60003760,90,2025-10-30T18:03:48Z,7174272630,1,region
sell,292000.0,5,5,30000142,60003760,90,2025-10-25T07:49:54Z,7170066656,1,region
sell,295000.0,2,3,30000142,60003760,90,2025-10-19T21:18:59Z,7166344559,1,region
sell,296000.0,3,3,30000142,60003760,90,2025-10-19T18:56:36Z,7141868060,1,region
sell,297500.0,3,3,30000142,60003760,90,2025-10-16T02:41:59Z,7163462085,1,region
sell,297700.0,9,9,30000142,60003760,90,2025-10-15T16:02:58Z,7163117775,1,region
sell,308400.0,3,3,30000142,60003760,90,2025-10-09T16:04:00Z,7158474105,1,region
sell,320500.0,6,6,30000142,60003760,90,2025-10-30T12:54:42Z,7174079184,1,region
sell,320600.0,3,3,30000142,60003760,90,2025-09-26T14:03:31Z,7149362733,1,region
sell,329000.0,3,3,30000142,60003760,90,2025-09-22T03:03:10Z,7105571020,1,region
sell,332200.0,3,3,30000142,60003760,90,2025-09-17T18:55:29Z,7123515282,1,region
sell,332900.0,3,3,30000142,60003760,90,2025-09-14T21:37:28Z,7138579595,1,region
sell,334800.0,9,9,30000142,60003760,90,2025-09-14T11:46:17Z,7141624494,1,region
sell,340000.0,3,3,30000142,60003760,90,2025-09-04T13:19:45Z,7135060650,1,region
sell,500000.0,3,3,30000142,60003760,90,2025-08-22T08:01:09Z,7126186706,1,region
sell,950000.0,3,3,30000142,60003760,90,2025-08-18T18:04:19Z,7124027035,1,region
sell,3999000.0,114,114,30000142,60003760,90,2025-10-05T20:59:11Z,7105621498,1,region
