side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,18010000.0,2,2,30000142,60003760,90,2025-11-15T14:51:26Z,7183910089,1,station
buy,18000000.0,21,21,30000142,60003760,90,2025-11-15T12:59:57Z,7163175857,1,station
buy,15500000.0,1,1,30000142,60003760,90,2025-11-11T22:50:56Z,7180630925,1,station
buy,15190000.0,1,1,30000142,60003760,90,2025-11-10T20:25:45Z,7182946419,1,station
buy,12720000.0,2,3,30000142,60003760,90,2025-11-06T13:36:02Z,7179502469,1,station
buy,12670000.0,1,2,30000142,60003760,90,2025-11-03T17:55:23Z,7169259278,1,station
buy,12500000.0,5,5,30000142,60003760,90,2025-10-29T13:02:47Z,7173338961,1,1
buy,0.01,1,1,30000142,60003760,90,2025-10-13T18:55:58Z,7161834043,1,station
buy,0.01,1000000,1000000,30000142,60003760,90,2025-11-11T17:58:23Z,7183615559,1,40
sell,219900000.0,1,1,30000142,60003760,90,2025-11-10T15:17:05Z,7182730184,1,region
sell,774400000.0,1,1,30000142,60003760,90,2025-11-04T23:59:01Z,7178483321,1,region
