side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,137900.0,35,50,30000144,1042508032148,90,2025-11-14T17:54:29Z,7185918550,1,1
buy,137800.0,22,50,30000142,60003760,90,2025-11-12T01:08:27Z,7171950583,1,4
buy,100900.0,20,20,30000142,60003760,90,2025-09-27T18:45:09Z,7150266401,1,station
buy,100000.0,45,50,30000142,60003760,90,2025-09-15T17:28:08Z,7142510897,1,1
sell,4019000.0,15,16,30000142,60003760,90,2025-11-15T01:09:19Z,7180127446,1,region
sell,4021000.0,3,4,30000142,60003760,90,2025-11-14T17:18:18Z,7094441766,1,region
sell,4022000.0,4,4,30000142,60003760,90,2025-11-14T15:30:37Z,7084043850,1,region
sell,4024000.0,2,2,30000142,60003760,90,2025-11-13T16:57:37Z,7185103001,1,region
sell,4025000.0,2,2,30000142,60003760,90,2025-11-13T12:29:46Z,7184939365,1,region
sell,4030000.0,4,4,30000142,60003760,14,2025-11-10T03:32:51Z,7171706860,1,region
sell,4034000.0,4,4,30000142,60003760,90,2025-10-29T22:51:36Z,7173721353,1,region
sell,4036000.0,4,4,30000142,60003760,30,2025-10-29T10:56:27Z,7173272047,1,region
sell,6375000.0,4,4,30000142,60003760,90,2025-10-07T19:59:52Z,7131099708,1,region
sell,6998000.0,4,5,30000142,60003760,90,2025-09-27T06:29:11Z,7139444726,1,region
sell,7000000.0,5,5,30000142,60003760,90,2025-09-26T03:40:20Z,7149128507,1,region
sell,7876000.0,2,2,30000142,60003760,90,2025-09-22T21:42:37Z,7143050472,1,region
sell,8397000.0,3,3,30000142,60003760,90,2025-09-14T11:38:31Z,7141620839,1,region
sell,8498000.0,4,4,30000142,60003760,90,2025-08-29T22:43:53Z,7131358429,1,region
sell,8499000.0,1,1,30000142,60003760,90,2025-08-29T21:39:54Z,7083066923,1,region
sell,9200000.0,3,3,30000142,60003760,90,2025-08-26T09:00:48Z,7129077230,1,region
