side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,10510000.0,42,50,30000144,1044752365771,90,2025-11-16T02:28:14Z,7184604940,1,1
buy,10500000.0,8,30,30000142,60003760,90,2025-11-15T22:54:28Z,7184637178,1,station
buy,10500000.0,8,30,30000142,60003760,90,2025-11-16T01:38:15Z,7184608962,1,station
buy,10500000.0,30,30,30000142,60003760,90,2025-11-16T01:38:28Z,7187165090,1,station
buy,10490000.0,3,20,30000142,60003760,90,2025-11-15T19:21:05Z,7181888311,1,station
buy,10240000.0,5,5,30000144,1044752365771,90,2025-10-31T14:53:18Z,7174879339,1,2
buy,10090000.0,40,40,30000142,60003760,90,2025-10-29T17:53:13Z,7173519080,1,1
buy,5200000.0,42,42,30000142,60003760,90,2025-09-08T20:54:08Z,7137970289,1,station
buy,2220000.0,100,100,30000142,60003760,90,2025-09-23T16:36:53Z,7102263954,1,station
buy,32010.0,45,45,30000144,1044752365771,90,2025-10-11T17:24:38Z,7101646438,1,4
buy,1.06,113,113,30000144,1044752365771,90,2025-10-17T01:25:41Z,7164104453,1,5
buy,1.0,1,1,30000142,60003760,90,2025-08-18T09:18:56Z,7123760593,1,station
buy,1.0,100000,100000,30000142,60003760,90,2025-08-18T09:19:25Z,7123760678,1,40
sell,17000000.0,1,1,30000143,60003769,90,2025-10-20T09:32:13Z,7166639213,1,region
sell,17230000.0,3,3,30000142,60003760,90,2025-11-16T06:47:56Z,7187326541,1,region
sell,17250000.0,1,1,30000142,60003760,90,2025-11-16T02:59:02Z,7187212731,1,region
sell,17510000.0,3,3,30000142,60003760,90,2025-11-15T23:25:45Z,7187088790,1,region
sell,18920000.0,1,1,30000142,60003760,90,2025-11-15T20:42:16Z,7186963134,1,region
sell,18930000.0,4,4,30000142,60003760,90,2025-11-15T19:56:25Z,7186469627,1,region
sell,18940000.0,1,1,30000142,60003760,90,2025-11-15T18:59:47Z,7186873049,1,region
sell,18940000.0,20,20,30000142,60003760,90,2025-11-15T19:42:50Z,7186912944,1,region
sell,18960000.0,2,2,30000142,60003760,90,2025-11-14T16:00:30Z,7185834641,1,region
sell,18970000.0,9,9,30000142,60003760,90,2025-11-07T01:14:08Z,7179920231,1,region
sell,19000000.0,4,4,30000142,60003760,90,2025-11-09T09:41:41Z,7181712869,1,region
sell,19130000.0,2,2,30000142,60003760,90,2025-11-06T16:54:23Z,7179622074,1,region
sell,19140000.0,6,6,30000142,60003760,90,2025-11-06T15:27:55Z,7179564339,1,region
sell,19200000.0,6,6,30000142,60003760,90,2025-11-06T10:56:48Z,7179423935,1,region
sell,19480000.0,4,9,30000142,60003760,90,2025-10-03T07:16:39Z,7153799558,1,region
sell,19570000.0,1,1,30000142,60003760,90,2025-09-28T13:14:30Z,7150813157,1,region
sell,19690000.0,2,2,30000142,60003760,90,2025-11-14T21:00:02Z,7186055143,1,region
sell,19900000.0,2,2,30000142,60003760,90,2025-09-28T05:09:04Z,7150570356,1,region
sell,19920000.0,1,1,30000142,60003760,90,2025-09-27T21:45:29Z,7150387338,1,region
sell,19970000.0,1,1,30000142,60003760,90,2025-11-06T04:47:00Z,7179285203,1,region
sell,19980000.0,20,20,30000142,60003760,90,2025-10-10T15:24:31Z,7156238022,1,region
sell,19980000.0,20,20,30000142,60003760,90,2025-10-12T17:36:40Z,7126968811,1,region
sell,19990000.0,3,3,30000142,60003760,90,2025-09-27T12:54:45Z,7150021040,1,region
sell,21840000.0,4,4,30000142,60003760,90,2025-10-04T12:45:44Z,7154631341,1,region
sell,21850000.0,3,3,30000142,60003760,90,2025-09-25T09:27:16Z,7148630706,1,region
sell,22400000.0,20,20,30000142,60003760,90,2025-11-06T15:43:55Z,7127933324,1,region
sell,22420000.0,1,1,30000142,60003760,90,2025-08-24T03:55:38Z,7127517699,1,region
sell,22430000.0,3,3,30000142,60003760,90,2025-08-23T23:10:43Z,7127400594,1,region
sell,22440000.0,11,11,30000142,60003760,90,2025-08-23T15:09:00Z,7127097154,1,region
