side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,7717000.0,49,70,30000144,1044752365771,90,2025-11-16T07:37:37Z,7185605131,1,1
buy,7716000.0,15,30,30000142,60003760,90,2025-11-16T06:27:52Z,7180769318,1,station
buy,7715000.0,1,4,30000142,60003760,90,2025-11-16T06:21:39Z,7184775431,1,station
buy,7714000.0,19,50,30000144,1042508032148,90,2025-11-16T06:17:50Z,7181617555,1,1
buy,7712000.0,10,17,30000142,60003760,90,2025-11-16T05:26:15Z,7184293618,1,station
buy,7710000.0,15,15,30000144,1044752365771,90,2025-11-16T03:43:13Z,7186896171,1,1
buy,7709000.0,2,6,30000144,1042508032148,90,2025-11-16T02:59:02Z,7186284577,1,1
buy,7705000.0,3,3,30000142,60003760,90,2025-11-16T01:06:28Z,7186203782,1,station
buy,7702000.0,8,10,30000144,1042508032148,90,2025-11-16T00:26:35Z,7185473200,1,1
buy,7700000.0,50,50,30000142,60003760,90,2025-11-16T00:30:04Z,7184561443,1,station
buy,7699000.0,10,10,30000142,60003760,14,2025-11-15T22:04:05Z,7186965298,1,station
buy,7698000.0,2,20,30000142,60003760,90,2025-11-15T21:47:52Z,7181894427,1,station
buy,7697000.0,25,25,30000144,1042508032148,1,2025-11-15T21:08:11Z,7185732418,1,3
buy,7659000.0,4,20,30000142,60003760,3,2025-11-15T19:24:58Z,7183450741,1,2
buy,7570000.0,27,30,30000144,1042508032148,90,2025-11-15T19:30:46Z,7184467195,1,1
buy,7540000.0,48,50,30000142,60003760,90,2025-11-15T15:18:48Z,7184434226,1,station
buy,7526000.0,13,15,30000144,1044752365771,90,2025-11-15T14:42:09Z,7185593686,1,1
buy,6693000.0,16,20,30000142,60003760,90,2025-11-14T20:03:22Z,7184492146,1,station
buy,6686000.0,12,19,30000142,60003760,90,2025-11-14T19:49:09Z,7180731041,1,station
buy,6680000.0,7,10,30000142,60003760,90,2025-11-14T18:27:53Z,7181520538,1,station
buy,6625000.0,1,1,30000142,60003760,3,2025-11-14T14:39:50Z,7185778181,1,station
buy,6271000.0,3,5,30000142,60003760,90,2025-11-14T13:22:05Z,7185483054,1,station
buy,6215000.0,100,100,30000142,60003760,3,2025-11-14T09:28:47Z,7185470399,1,station
buy,6210000.0,10,10,30000142,60003760,90,2025-11-14T07:52:56Z,7185573047,1,station
buy,6030000.0,1,1,30000142,60003760,90,2025-11-13T20:41:40Z,7184768197,1,station
buy,5658000.0,20,20,30000142,60003760,14,2025-11-12T22:02:24Z,7181362883,1,4
buy,5623000.0,46,50,30000144,1044752365771,90,2025-11-12T18:21:25Z,7181819357,1,1
buy,5573000.0,5,6,30000142,60003760,90,2025-11-12T01:16:47Z,7183764002,1,station
buy,5566000.0,14,14,30000142,60003760,90,2025-11-12T00:02:42Z,7183862508,1,station
buy,5500000.0,14,20,30000142,60003760,90,2025-11-11T06:54:04Z,7181600745,1,station
buy,5345000.0,13,20,30000142,60003760,90,2025-11-11T05:49:04Z,7181731047,1,station
buy,5332000.0,54,60,30000142,60003760,90,2025-11-10T15:44:39Z,7178821922,1,1
buy,5255000.0,20,20,30000142,60003760,90,2025-11-09T20:03:24Z,7182128683,1,station
buy,5027000.0,8,10,30000142,60003760,90,2025-11-08T20:40:11Z,7181153280,1,station
buy,4502000.0,2,50,30000142,60003760,90,2025-11-03T03:56:07Z,7177058939,1,1
buy,2157000.0,10,10,30000142,60003760,90,2025-11-04T18:53:34Z,7178296857,1,station
buy,2000000.0,30,30,30000144,1044752365771,90,2025-10-10T14:19:24Z,7157438436,1,1
buy,950000.0,4,5,30000142,60003760,90,2025-10-07T04:28:47Z,7156229723,1,1
buy,263500.0,98,100,30000142,60003760,90,2025-10-07T01:23:51Z,7156314767,1,station
buy,240000.0,20,20,30000142,60003760,90,2025-10-06T21:44:40Z,7156545976,1,station
buy,14.0,10000,10000,30000142,60003760,90,2025-10-06T21:17:48Z,7156529073,1,40
sell,14000000.0,8,19,30000142,60003760,90,2025-11-04T02:00:06Z,7177763123,1,region
sell,14880000.0,5,5,30000142,60003760,90,2025-11-16T06:03:18Z,7187304675,1,region
sell,14900000.0,5,5,30000142,60003760,90,2025-11-14T18:16:40Z,7185936391,1,region
sell,14930000.0,5,5,30000142,60003760,90,2025-11-14T18:17:00Z,7185936638,1,region
sell,14940000.0,5,5,30000142,60003760,90,2025-11-14T18:16:18Z,7185936197,1,region
sell,14950000.0,5,5,30000142,60003760,90,2025-11-14T18:16:02Z,7185936024,1,region
sell,14990000.0,5,5,30000142,60003760,90,2025-11-14T18:16:29Z,7185936314,1,region
sell,15000000.0,29,29,30000142,60003760,90,2025-11-04T01:59:46Z,7177762891,1,region
sell,15950000.0,4,4,30000142,60003760,90,2025-11-02T16:40:13Z,7176635768,1,region
sell,16000000.0,18,18,30000142,60003760,90,2025-11-04T02:54:06Z,7177786661,1,region
sell,20000000.0,20,20,30000142,60003760,90,2025-11-16T06:17:34Z,7187311038,1,region
sell,21510000.0,18,18,30000142,60003760,90,2025-11-15T11:22:44Z,7186514138,1,region
