side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,240000000.0,2,5,30000142,60003760,90,2025-11-08T19:35:45Z,7181260041,1,station
buy,239500000.0,1,1,30000142,60003760,90,2025-10-15T15:20:35Z,7163092553,1,station
buy,13500000.0,1,1,30000142,60003760,90,2025-11-07T15:06:24Z,7161658013,1,region
buy,1000.0,10,10,30000142,60003760,90,2025-11-10T01:28:36Z,7182371607,1,region
sell,365000000.0,1,1,30000142,60003760,90,2025-11-16T02:38:39Z,7164685701,1,region
sell,365000000.0,1,1,30000142,60003760,7,2025-11-16T07:19:09Z,7187341186,1,region
sell,368100000.0,1,1,30000142,60003760,90,2025-11-10T20:52:50Z,7182965499,1,region
sell,369000000.0,1,1,30000142,60003760,90,2025-11-10T15:54:46Z,7182756872,1,region
sell,389500000.0,1,1,30000142,60003760,30,2025-11-08T02:23:43Z,7180650436,1,region
sell,399800000.0,1,1,30000142,60003760,90,2025-11-06T12:31:48Z,7176926750,1,region
sell,400000000.0,1,1,30000142,60003760,90,2025-11-15T08:17:13Z,7186410861,1,region
sell,449800000.0,1,1,30000142,60003760,90,2025-11-01T16:28:58Z,7175735814,1,region
sell,450000000.0,1,3,30000142,60003760,90,2025-10-28T21:00:52Z,7172916174,1,region
sell,479000000.0,1,1,30000142,60003760,30,2025-10-28T13:48:44Z,7172621294,1,region
sell,479900000.0,1,1,30000142,60003760,90,2025-10-27T16:19:37Z,7172000313,1,region
sell,480000000.0,3,3,30000142,60003760,90,2025-10-26T20:27:15Z,7171456539,1,region
sell,506400000.0,1,1,30000142,60003760,90,2025-10-18T10:45:27Z,7165031753,1,region
sell,511500000.0,1,1,30000142,60003760,90,2025-10-20T21:51:54Z,7167090849,1,region
sell,675200000.0,1,1,30000142,60003760,90,2025-10-17T19:08:02Z,7164597641,1,region
sell,889000000.0,3,3,30000142,60003760,90,2025-10-16T23:41:30Z,7164066754,1,region
