side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,666000.0,70,200,30000142,60003760,90,2025-11-15T19:06:19Z,7182860208,1,3
buy,665500.0,86,100,30000144,1044752365771,90,2025-09-13T13:27:26Z,7126270216,1,1
buy,664500.0,1000,1000,30000142,60003760,90,2025-09-13T09:56:09Z,7117018441,1,station
buy,656000.0,40,50,30000144,1044752365771,90,2025-09-11T14:38:28Z,7139283334,1,1
buy,653200.0,66,100,30000144,1044752365771,90,2025-09-10T15:59:30Z,7137159205,1,1
buy,650100.0,116,140,30000144,1044752365771,90,2025-09-09T18:41:13Z,7129549382,1,1
buy,649900.0,90,92,30000142,60003760,90,2025-09-09T18:37:06Z,7138466143,1,2
buy,648400.0,3,6,30000144,1044752365771,90,2025-09-09T14:19:28Z,7136196330,1,1
buy,618900.0,36,80,30000144,1044752365771,90,2025-09-04T07:28:38Z,7122542593,1,1
buy,558700.0,49,50,30000144,1044752365771,90,2025-08-29T06:41:37Z,7130450658,1,1
buy,556000.0,2,2,30000144,1044752365771,90,2025-08-28T20:41:04Z,7130642302,1,1
buy,554000.0,37,40,30000142,60003760,90,2025-08-28T14:55:17Z,7121098031,1,station
buy,533200.0,3,4,30000142,60003760,90,2025-08-28T14:03:06Z,7128583936,1,station
buy,532000.0,150,150,30000142,60003760,90,2025-08-24T21:56:12Z,7128167276,1,station
buy,516000.0,200,200,30000142,60003760,90,2025-08-22T20:45:59Z,7126586895,1,station
buy,510000.0,99,100,30000144,1044752365771,90,2025-08-22T03:44:03Z,7121662983,1,1
buy,508500.0,99,99,30000144,1044752365771,90,2025-08-21T22:31:48Z,7125994247,1,1
buy,200000.0,46,50,30000180,60012667,90,2025-10-23T15:03:00Z,7168844200,1,station
buy,5006.0,100,100,30000144,1044752365771,90,2025-11-07T06:33:55Z,7136812773,1,region
buy,5005.0,1000,1000,30000142,60003760,90,2025-11-04T06:39:34Z,7138422038,1,region
buy,11.01,717,1000,30000142,60003760,90,2025-11-04T06:39:23Z,7063134914,1,40
sell,768800.0,9,113,30000142,60003760,90,2025-11-15T23:56:43Z,7176655954,1,region
sell,768800.0,118,118,30000142,60003760,90,2025-11-15T23:56:47Z,7187110754,1,region
sell,768900.0,38,44,30000142,60003760,90,2025-11-15T23:30:44Z,7187092068,1,region
sell,769000.0,5,5,30000142,60003760,90,2025-11-15T23:08:04Z,7187076067,1,region
sell,769100.0,24,32,30000142,60003760,90,2025-11-15T18:46:08Z,7185196690,1,region
sell,769400.0,144,194,30000142,60003760,90,2025-11-15T23:10:56Z,7183481034,1,region
sell,769500.0,30,30,30000142,60003760,90,2025-11-14T17:55:37Z,7185919472,1,region
sell,769600.0,117,117,30000142,60003760,90,2025-11-14T16:42:47Z,7185862417,1,region
sell,769800.0,13,13,30000142,60003760,90,2025-11-14T14:57:21Z,7179094670,1,region
sell,770000.0,7,7,30000197,60001795,90,2025-11-11T02:24:00Z,7183150914,1,region
sell,771000.0,166,166,30000142,60003760,90,2025-11-13T09:05:55Z,7184844788,1,region
sell,771500.0,9,9,30000142,60003760,90,2025-11-13T08:29:48Z,7184830349,1,region
sell,771900.0,76,76,30000142,60003760,90,2025-11-12T08:09:34Z,7184065766,1,region
sell,772100.0,163,163,30000142,60003760,90,2025-11-11T20:27:04Z,7183731251,1,region
sell,772400.0,1861,1901,30000142,60003760,90,2025-11-09T15:25:36Z,7180338528,1,region
sell,772500.0,1,1,30000142,60003760,90,2025-11-09T10:57:16Z,7181756841,1,region
sell,773000.0,1,1,30000142,60003760,90,2025-11-09T08:38:45Z,7181679708,1,region
sell,775000.0,31,31,30000142,60003760,90,2025-11-09T07:05:28Z,7181634682,1,region
sell,775400.0,1,1,30000142,60003760,90,2025-11-08T10:22:50Z,7180866500,1,region
sell,776700.0,10,10,30000142,60003760,90,2025-11-08T08:50:37Z,7179316406,1,region
sell,776800.0,4,4,30000142,60003760,90,2025-11-08T08:45:35Z,7180817013,1,region
sell,781600.0,1,1,30000142,60003760,14,2025-11-07T00:49:57Z,7179911165,1,region
sell,783200.0,2,2,30000142,60003760,90,2025-11-06T10:55:24Z,7179423188,1,region
sell,788600.0,6,8,30000142,60003760,90,2025-11-05T19:42:40Z,7179011631,1,region
sell,790100.0,419,419,30000142,60003760,90,2025-11-05T15:55:32Z,7178872777,1,region
sell,790600.0,756,756,30000142,60003760,90,2025-11-05T01:25:04Z,7178518007,1,region
sell,791000.0,2,2,30000142,60003760,30,2025-11-04T18:57:21Z,7178300154,1,region
sell,791300.0,13,13,30000142,60003760,90,2025-11-04T19:02:51Z,7178303915,1,region
sell,791400.0,65,65,30000142,60003760,90,2025-11-04T18:53:07Z,7178296697,1,region
sell,791600.0,21,21,30000142,60003760,90,2025-11-04T16:49:30Z,7178209990,1,region
sell,792000.0,1,1,30000142,60003760,90,2025-11-04T13:17:35Z,7178072333,1,region
sell,793500.0,5,5,30000142,60003760,90,2025-11-03T14:30:13Z,7177345370,1,region
